qualifyId,raceId,driverId,constructorId,number,position,date
166,555,100,30,31,25,1994-07-09 00:00:00
167,555,110,30,32,26,1994-07-09 00:00:00
168,555,80,28,10,16,1994-07-09 00:00:00
169,555,99,32,20,22,1994-07-09 00:00:00
170,555,43,26,26,15,1994-07-09 00:00:00
171,555,21,16,14,6,1994-07-09 00:00:00
172,555,48,14,30,13,1994-07-09 00:00:00
173,555,93,17,23,14,1994-07-09 00:00:00
174,555,70,2,0,1,1994-07-09 00:00:00
175,555,29,21,5,2,1994-07-09 00:00:00
176,555,76,5,28,3,1994-07-09 00:00:00
177,555,56,0,7,5,1994-07-09 00:00:00
178,555,54,5,27,4,1994-07-09 00:00:00
179,555,13,2,2,7,1994-07-09 00:00:00
180,555,78,24,3,8,1994-07-09 00:00:00
181,555,49,21,6,10,1994-07-09 00:00:00
182,555,86,24,4,11,1994-07-09 00:00:00
183,555,55,16,15,12,1994-07-09 00:00:00
184,556,48,14,30,9,1994-07-30 00:00:00
185,556,21,16,14,11,1994-07-30 00:00:00
186,556,55,16,15,10,1994-07-30 00:00:00
187,556,43,26,26,12,1994-07-30 00:00:00
188,556,86,24,4,7,1994-07-30 00:00:00
189,556,76,5,28,1,1994-07-30 00:00:00
190,556,78,24,3,5,1994-07-30 00:00:00
191,556,29,21,5,4,1994-07-30 00:00:00
192,556,70,2,0,3,1994-07-30 00:00:00
193,556,54,5,27,2,1994-07-30 00:00:00
194,556,83,0,8,13,1994-07-30 00:00:00
195,556,13,2,2,6,1994-07-30 00:00:00
196,556,102,26,25,14,1994-07-30 00:00:00
197,556,56,0,7,8,1994-07-30 00:00:00
198,556,80,28,10,16,1994-07-30 00:00:00
199,556,100,30,31,25,1994-07-30 00:00:00
200,556,105,32,19,24,1994-07-30 00:00:00
201,556,104,17,24,23,1994-07-30 00:00:00
202,556,99,32,20,22,1994-07-30 00:00:00
203,556,69,31,11,21,1994-07-30 00:00:00
204,556,110,30,32,26,1994-07-30 00:00:00
205,556,93,17,23,20,1994-07-30 00:00:00
206,556,49,21,6,19,1994-07-30 00:00:00
207,556,109,14,29,18,1994-07-30 00:00:00
208,556,103,28,9,17,1994-07-30 00:00:00
209,556,64,31,12,15,1994-07-30 00:00:00
210,557,103,28,9,16,1994-08-13 00:00:00
211,557,109,14,29,17,1994-08-13 00:00:00
212,557,102,26,25,18,1994-08-13 00:00:00
213,557,80,28,10,19,1994-08-13 00:00:00
214,557,104,17,24,20,1994-08-13 00:00:00
215,557,69,31,11,22,1994-08-13 00:00:00
216,557,100,30,31,23,1994-08-13 00:00:00
217,557,64,31,12,24,1994-08-13 00:00:00
218,557,105,32,19,25,1994-08-13 00:00:00
219,557,93,17,23,15,1994-08-13 00:00:00
220,557,99,32,20,21,1994-08-13 00:00:00
221,557,111,0,7,14,1994-08-13 00:00:00
222,557,110,30,32,26,1994-08-13 00:00:00
223,557,49,21,6,12,1994-08-13 00:00:00
224,557,70,2,0,2,1994-08-13 00:00:00
225,557,13,2,2,3,1994-08-13 00:00:00
226,557,76,5,28,4,1994-08-13 00:00:00
227,557,78,24,3,5,1994-08-13 00:00:00
228,557,83,0,8,6,1994-08-13 00:00:00
229,557,29,21,5,1,1994-08-13 00:00:00
230,557,54,5,27,13,1994-08-13 00:00:00
231,557,48,14,30,8,1994-08-13 00:00:00
232,557,43,26,26,9,1994-08-13 00:00:00
233,557,21,16,14,10,1994-08-13 00:00:00
234,557,86,24,4,11,1994-08-13 00:00:00
235,557,55,16,15,7,1994-08-13 00:00:00
236,558,109,14,29,15,1994-08-27 00:00:00
237,558,102,26,25,16,1994-08-27 00:00:00
238,558,43,26,26,17,1994-08-27 00:00:00
239,558,104,17,24,18,1994-08-27 00:00:00
240,558,111,32,19,19,1994-08-27 00:00:00
241,558,112,31,11,26,1994-08-27 00:00:00
242,558,100,30,31,21,1994-08-27 00:00:00
243,558,78,24,3,23,1994-08-27 00:00:00
244,558,103,28,9,24,1994-08-27 00:00:00
245,558,110,30,32,25,1994-08-27 00:00:00
246,558,80,28,10,14,1994-08-27 00:00:00
247,558,64,31,12,20,1994-08-27 00:00:00
248,558,99,32,20,22,1994-08-27 00:00:00
249,558,86,24,4,12,1994-08-27 00:00:00
250,558,76,5,28,11,1994-08-27 00:00:00
251,558,83,0,8,13,1994-08-27 00:00:00
252,558,21,16,14,1,1994-08-27 00:00:00
253,558,29,21,5,2,1994-08-27 00:00:00
254,558,55,16,15,4,1994-08-27 00:00:00
255,558,54,5,27,5,1994-08-27 00:00:00
256,558,70,2,0,3,1994-08-27 00:00:00
257,558,13,2,2,7,1994-08-27 00:00:00
258,558,56,0,7,8,1994-08-27 00:00:00
259,558,48,14,30,9,1994-08-27 00:00:00
260,558,93,17,23,10,1994-08-27 00:00:00
261,558,49,21,6,6,1994-08-27 00:00:00
262,559,108,21,5,20,1994-09-10 00:00:00
263,559,80,28,10,17,1994-09-10 00:00:00
264,559,93,17,23,18,1994-09-10 00:00:00
265,559,103,28,9,19,1994-09-10 00:00:00
266,559,86,24,4,21,1994-09-10 00:00:00
267,559,76,5,28,2,1994-09-10 00:00:00
268,559,113,32,19,23,1994-09-10 00:00:00
269,559,99,32,20,24,1994-09-10 00:00:00
270,559,110,30,32,25,1994-09-10 00:00:00
271,559,100,30,31,26,1994-09-10 00:00:00
272,559,21,16,14,16,1994-09-10 00:00:00
273,559,104,17,24,22,1994-09-10 00:00:00
274,559,83,0,8,15,1994-09-10 00:00:00
275,559,54,5,27,1,1994-09-10 00:00:00
276,559,69,31,11,13,1994-09-10 00:00:00
277,559,70,2,0,3,1994-09-10 00:00:00
278,559,64,31,12,4,1994-09-10 00:00:00
279,559,13,2,2,5,1994-09-10 00:00:00
280,559,43,26,26,6,1994-09-10 00:00:00
281,559,56,0,7,7,1994-09-10 00:00:00
282,559,78,24,3,14,1994-09-10 00:00:00
283,559,55,16,15,9,1994-09-10 00:00:00
284,559,49,21,6,10,1994-09-10 00:00:00
285,559,48,14,30,11,1994-09-10 00:00:00
286,559,102,26,25,12,1994-09-10 00:00:00
287,559,109,14,29,8,1994-09-10 00:00:00
288,560,43,26,26,15,1994-09-24 00:00:00
289,560,80,28,10,16,1994-09-24 00:00:00
290,560,109,14,29,17,1994-09-24 00:00:00
291,560,93,17,23,18,1994-09-24 00:00:00
292,560,104,17,24,19,1994-09-24 00:00:00
293,560,99,32,20,22,1994-09-24 00:00:00
294,560,102,26,25,21,1994-09-24 00:00:00
295,560,113,32,19,23,1994-09-24 00:00:00
296,560,100,30,31,24,1994-09-24 00:00:00
297,560,108,21,5,14,1994-09-24 00:00:00
298,560,110,30,32,26,1994-09-24 00:00:00
299,560,64,31,12,20,1994-09-24 00:00:00
300,560,112,31,11,25,1994-09-24 00:00:00
301,560,55,16,15,13,1994-09-24 00:00:00
302,560,103,28,9,11,1994-09-24 00:00:00
303,560,86,24,4,12,1994-09-24 00:00:00
304,560,76,5,28,1,1994-09-24 00:00:00
305,560,70,2,0,2,1994-09-24 00:00:00
306,560,56,0,7,4,1994-09-24 00:00:00
307,560,54,5,27,5,1994-09-24 00:00:00
308,560,13,2,2,3,1994-09-24 00:00:00
309,560,83,0,8,7,1994-09-24 00:00:00
310,560,21,16,14,8,1994-09-24 00:00:00
311,560,48,14,30,9,1994-09-24 00:00:00
312,560,49,21,6,10,1994-09-24 00:00:00
313,560,78,24,3,6,1994-09-24 00:00:00
314,561,103,28,9,19,1994-10-15 00:00:00
315,561,93,17,23,17,1994-10-15 00:00:00
316,561,109,14,29,18,1994-10-15 00:00:00
317,561,54,5,27,16,1994-10-15 00:00:00
318,561,104,17,24,20,1994-10-15 00:00:00
319,561,92,30,32,26,1994-10-15 00:00:00
320,561,102,31,11,22,1994-10-15 00:00:00
321,561,99,32,20,23,1994-10-15 00:00:00
322,561,114,32,19,24,1994-10-15 00:00:00
323,561,100,30,31,25,1994-10-15 00:00:00
324,561,69,31,12,21,1994-10-15 00:00:00
325,561,86,24,4,14,1994-10-15 00:00:00
326,561,83,0,8,15,1994-10-15 00:00:00
327,561,49,21,6,12,1994-10-15 00:00:00
328,561,70,2,0,2,1994-10-15 00:00:00
329,561,94,2,2,3,1994-10-15 00:00:00
330,561,48,14,30,4,1994-10-15 00:00:00
331,561,21,16,14,5,1994-10-15 00:00:00
332,561,76,5,28,6,1994-10-15 00:00:00
333,561,29,21,5,1,1994-10-15 00:00:00
334,561,80,28,10,8,1994-10-15 00:00:00
335,561,56,0,7,9,1994-10-15 00:00:00
336,561,55,16,15,10,1994-10-15 00:00:00
337,561,43,26,26,11,1994-10-15 00:00:00
338,561,78,24,3,13,1994-10-15 00:00:00
339,561,64,26,25,7,1994-10-15 00:00:00
340,562,93,17,23,16,1994-11-05 00:00:00
341,562,69,31,12,17,1994-11-05 00:00:00
342,562,103,28,9,18,1994-11-05 00:00:00
343,562,43,26,26,19,1994-11-05 00:00:00
344,562,115,26,25,20,1994-11-05 00:00:00
345,562,114,32,19,23,1994-11-05 00:00:00
346,562,99,32,20,22,1994-11-05 00:00:00
347,562,100,30,31,24,1994-11-05 00:00:00
348,562,62,31,11,25,1994-11-05 00:00:00
349,562,88,30,32,26,1994-11-05 00:00:00
350,562,108,14,29,15,1994-11-05 00:00:00
351,562,104,17,24,21,1994-11-05 00:00:00
352,562,78,24,3,14,1994-11-05 00:00:00
353,562,80,28,10,12,1994-11-05 00:00:00
354,562,94,2,2,4,1994-11-05 00:00:00
355,562,76,5,28,11,1994-11-05 00:00:00
356,562,21,16,14,10,1994-11-05 00:00:00
357,562,83,0,8,9,1994-11-05 00:00:00
358,562,56,0,7,8,1994-11-05 00:00:00
359,562,54,5,27,7,1994-11-05 00:00:00
360,562,55,16,15,6,1994-11-05 00:00:00
361,562,64,21,6,5,1994-11-05 00:00:00
362,562,48,14,30,3,1994-11-05 00:00:00
363,562,70,2,0,2,1994-11-05 00:00:00
364,562,29,21,5,1,1994-11-05 00:00:00
365,562,86,24,4,13,1994-11-05 00:00:00
366,563,93,17,23,18,1994-11-12 00:00:00
367,563,108,14,29,17,1994-11-12 00:00:00
368,563,78,24,3,15,1994-11-12 00:00:00
369,563,103,28,9,19,1994-11-12 00:00:00
370,563,104,17,24,16,1994-11-12 00:00:00
371,563,115,26,25,20,1994-11-12 00:00:00
372,563,92,30,32,26,1994-11-12 00:00:00
373,563,62,31,11,22,1994-11-12 00:00:00
374,563,114,32,19,23,1994-11-12 00:00:00
375,563,100,30,31,24,1994-11-12 00:00:00
376,563,97,32,20,25,1994-11-12 00:00:00
377,563,80,28,10,21,1994-11-12 00:00:00
378,563,69,31,12,14,1994-11-12 00:00:00
379,563,43,26,26,12,1994-11-12 00:00:00
380,563,86,24,4,13,1994-11-12 00:00:00
381,563,94,2,2,1,1994-11-12 00:00:00
382,563,29,21,5,2,1994-11-12 00:00:00
383,563,70,2,0,3,1994-11-12 00:00:00
384,563,21,16,14,5,1994-11-12 00:00:00
385,563,55,16,15,6,1994-11-12 00:00:00
386,563,56,0,7,4,1994-11-12 00:00:00
387,563,54,5,27,8,1994-11-12 00:00:00
388,563,83,0,8,9,1994-11-12 00:00:00
389,563,48,14,30,10,1994-11-12 00:00:00
390,563,76,5,28,11,1994-11-12 00:00:00
391,563,64,21,6,7,1994-11-12 00:00:00
392,564,90,14,29,19,1995-03-25 00:00:00
393,564,87,26,25,15,1995-03-25 00:00:00
394,564,21,16,14,16,1995-03-25 00:00:00
395,564,93,17,23,17,1995-03-25 00:00:00
396,564,68,17,24,18,1995-03-25 00:00:00
397,564,91,29,16,20,1995-03-25 00:00:00
398,564,80,28,9,13,1995-03-25 00:00:00
399,564,84,29,17,22,1995-03-25 00:00:00
400,564,89,27,22,23,1995-03-25 00:00:00
401,564,49,30,12,24,1995-03-25 00:00:00
402,564,63,27,21,25,1995-03-25 00:00:00
403,564,48,14,30,14,1995-03-25 00:00:00
404,564,88,28,10,21,1995-03-25 00:00:00
405,564,92,30,11,26,1995-03-25 00:00:00
406,564,86,0,7,9,1995-03-25 00:00:00
407,564,78,24,3,11,1995-03-25 00:00:00
408,564,43,26,26,10,1995-03-25 00:00:00
409,564,55,16,15,8,1995-03-25 00:00:00
410,564,56,0,8,7,1995-03-25 00:00:00
411,564,54,5,27,6,1995-03-25 00:00:00
412,564,76,5,28,5,1995-03-25 00:00:00
413,564,64,21,2,4,1995-03-25 00:00:00
414,564,13,2,6,3,1995-03-25 00:00:00
415,564,70,2,5,1,1995-03-25 00:00:00
416,564,29,21,1,2,1995-03-25 00:00:00
417,564,62,24,4,12,1995-03-25 00:00:00
418,565,43,26,26,18,1995-04-08 00:00:00
419,565,93,17,23,16,1995-04-08 00:00:00
420,565,86,0,7,17,1995-04-08 00:00:00
421,565,88,28,10,26,1995-04-08 00:00:00
422,565,87,26,25,19,1995-04-08 00:00:00
423,565,78,24,3,15,1995-04-08 00:00:00
424,565,90,14,29,21,1995-04-08 00:00:00
425,565,84,29,17,22,1995-04-08 00:00:00
426,565,91,29,16,23,1995-04-08 00:00:00
427,565,89,27,22,24,1995-04-08 00:00:00
428,565,63,27,21,25,1995-04-08 00:00:00
429,565,92,30,11,20,1995-04-08 00:00:00
430,565,49,30,12,14,1995-04-08 00:00:00
431,565,76,5,28,8,1995-04-08 00:00:00
432,565,80,28,9,12,1995-04-08 00:00:00
433,565,68,17,24,13,1995-04-08 00:00:00
434,565,13,2,6,1,1995-04-08 00:00:00
435,565,70,2,5,2,1995-04-08 00:00:00
436,565,55,16,15,4,1995-04-08 00:00:00
437,565,56,0,8,5,1995-04-08 00:00:00
438,565,29,21,1,3,1995-04-08 00:00:00
439,565,62,24,4,7,1995-04-08 00:00:00
440,565,48,14,30,9,1995-04-08 00:00:00
441,565,21,16,14,10,1995-04-08 00:00:00
442,565,64,21,6,11,1995-04-08 00:00:00
443,565,54,5,27,6,1995-04-08 00:00:00
444,566,88,28,10,19,1995-04-29 00:00:00
445,566,87,26,25,16,1995-04-29 00:00:00
446,566,49,30,12,17,1995-04-29 00:00:00
447,566,93,17,23,18,1995-04-29 00:00:00
448,566,68,17,24,20,1995-04-29 00:00:00
449,566,63,27,21,26,1995-04-29 00:00:00
450,566,91,29,16,22,1995-04-29 00:00:00
451,566,92,30,11,23,1995-04-29 00:00:00
452,566,84,29,17,24,1995-04-29 00:00:00
453,566,89,27,22,25,1995-04-29 00:00:00
454,566,78,24,3,15,1995-04-29 00:00:00
455,566,90,14,29,21,1995-04-29 00:00:00
456,566,48,14,30,14,1995-04-29 00:00:00
457,566,62,24,4,13,1995-04-29 00:00:00
458,566,43,26,26,12,1995-04-29 00:00:00
459,566,29,21,1,1,1995-04-29 00:00:00
460,566,76,5,28,2,1995-04-29 00:00:00
461,566,13,2,6,3,1995-04-29 00:00:00
462,566,54,5,27,5,1995-04-29 00:00:00
463,566,56,0,8,6,1995-04-29 00:00:00
464,566,70,2,5,4,1995-04-29 00:00:00
465,566,64,21,6,8,1995-04-29 00:00:00
466,566,94,0,7,9,1995-04-29 00:00:00
467,566,21,16,14,10,1995-04-29 00:00:00
468,566,80,28,9,11,1995-04-29 00:00:00
469,566,55,16,15,7,1995-04-29 00:00:00
470,567,88,28,10,18,1995-05-13 00:00:00
471,567,49,30,12,16,1995-05-13 00:00:00
472,567,78,24,3,17,1995-05-13 00:00:00
473,567,63,27,21,26,1995-05-13 00:00:00
474,567,93,17,23,19,1995-05-13 00:00:00
475,567,89,27,22,25,1995-05-13 00:00:00
476,567,68,17,24,21,1995-05-13 00:00:00
477,567,92,30,11,22,1995-05-13 00:00:00
478,567,84,29,17,23,1995-05-13 00:00:00
479,567,91,29,16,24,1995-05-13 00:00:00
480,567,43,26,26,15,1995-05-13 00:00:00
481,567,90,14,29,20,1995-05-13 00:00:00
482,567,80,28,9,14,1995-05-13 00:00:00
483,567,21,16,14,8,1995-05-13 00:00:00
484,567,48,14,30,12,1995-05-13 00:00:00
485,567,62,24,4,13,1995-05-13 00:00:00
486,567,29,21,1,1,1995-05-13 00:00:00
487,567,54,5,27,2,1995-05-13 00:00:00
488,567,13,2,6,4,1995-05-13 00:00:00
489,567,70,2,5,5,1995-05-13 00:00:00
490,567,76,5,28,3,1995-05-13 00:00:00
491,567,64,21,2,7,1995-05-13 00:00:00
492,567,56,0,8,9,1995-05-13 00:00:00
493,567,94,0,7,10,1995-05-13 00:00:00
494,567,83,26,25,11,1995-05-13 00:00:00
495,567,55,16,15,6,1995-05-13 00:00:00
496,568,95,14,29,19,1995-05-27 00:00:00
497,568,68,17,24,16,1995-05-27 00:00:00
498,568,62,24,4,17,1995-05-27 00:00:00
499,568,93,17,23,18,1995-05-27 00:00:00
500,568,92,30,11,20,1995-05-27 00:00:00
501,568,84,29,17,25,1995-05-27 00:00:00
502,568,63,27,21,22,1995-05-27 00:00:00
503,568,49,30,12,23,1995-05-27 00:00:00
504,568,89,27,22,24,1995-05-27 00:00:00
505,568,78,24,3,15,1995-05-27 00:00:00
506,568,88,28,10,26,1995-05-27 00:00:00
507,568,91,29,16,21,1995-05-27 00:00:00
508,568,48,14,30,14,1995-05-27 00:00:00
509,568,83,26,26,8,1995-05-27 00:00:00
510,568,43,26,26,12,1995-05-27 00:00:00
511,568,21,16,14,11,1995-05-27 00:00:00
512,568,86,0,7,10,1995-05-27 00:00:00
513,568,55,16,15,9,1995-05-27 00:00:00
514,568,64,21,2,7,1995-05-27 00:00:00
515,568,56,0,8,6,1995-05-27 00:00:00
516,568,54,5,27,5,1995-05-27 00:00:00
517,568,76,5,28,4,1995-05-27 00:00:00
518,568,13,2,6,3,1995-05-27 00:00:00
519,568,29,21,1,2,1995-05-27 00:00:00
520,568,70,2,5,1,1995-05-27 00:00:00
521,568,80,28,9,13,1995-05-27 00:00:00
522,569,83,26,25,14,1995-06-10 00:00:00
523,569,78,24,3,16,1995-06-10 00:00:00
524,569,62,24,4,15,1995-06-10 00:00:00
525,569,63,27,21,24,1995-06-10 00:00:00
526,569,68,17,24,19,1995-06-10 00:00:00
527,569,88,28,10,22,1995-06-10 00:00:00
528,569,84,29,17,21,1995-06-10 00:00:00
529,569,91,29,16,20,1995-06-10 00:00:00
530,569,80,28,9,13,1995-06-10 00:00:00
531,569,89,27,22,23,1995-06-10 00:00:00
532,569,48,14,30,12,1995-06-10 00:00:00
533,569,93,17,23,17,1995-06-10 00:00:00
534,569,86,0,7,10,1995-06-10 00:00:00
535,569,64,21,2,6,1995-06-10 00:00:00
536,569,54,5,27,5,1995-06-10 00:00:00
537,569,76,5,28,4,1995-06-10 00:00:00
538,569,13,2,6,3,1995-06-10 00:00:00
539,569,70,2,5,2,1995-06-10 00:00:00
540,569,43,26,26,11,1995-06-10 00:00:00
541,569,95,14,29,18,1995-06-10 00:00:00
542,569,56,0,8,7,1995-06-10 00:00:00
543,569,55,16,15,8,1995-06-10 00:00:00
544,569,29,21,1,1,1995-06-10 00:00:00
545,569,21,16,14,9,1995-06-10 00:00:00
546,570,89,27,22,24,1995-07-01 00:00:00
547,570,91,29,16,22,1995-07-01 00:00:00
548,570,84,29,17,21,1995-07-01 00:00:00
549,570,78,24,3,19,1995-07-01 00:00:00
550,570,88,28,10,18,1995-07-01 00:00:00
551,570,68,17,24,17,1995-07-01 00:00:00
552,570,80,28,9,16,1995-07-01 00:00:00
553,570,95,14,29,15,1995-07-01 00:00:00
554,570,62,24,4,14,1995-07-01 00:00:00
555,570,86,0,7,13,1995-07-01 00:00:00
556,570,63,27,21,23,1995-07-01 00:00:00
557,570,55,16,15,11,1995-07-01 00:00:00
