constructorStandingsId,raceId,constructorId,points,position,wins,date
87,74,93,0.0,7,0,1958-10-19 00:00:00
88,74,64,18.0,4,0,1958-10-19 00:00:00
89,74,103,6.0,5,0,1958-10-19 00:00:00
90,74,125,0.0,9,0,1958-10-19 00:00:00
91,74,5,40.0,2,2,1958-10-19 00:00:00
92,75,31,0.0,5,0,1959-05-10 00:00:00
93,75,64,0.0,4,0,1959-05-10 00:00:00
94,75,163,0.0,3,0,1959-05-10 00:00:00
95,75,5,6.0,2,0,1959-05-10 00:00:00
96,75,167,8.0,1,1,1959-05-10 00:00:00
97,75,103,0.0,7,0,1959-05-10 00:00:00
98,75,93,0.0,6,0,1959-05-10 00:00:00
99,76,5,6.0,2,0,1959-05-30 00:00:00
100,76,163,0.0,3,0,1959-05-30 00:00:00
101,76,103,0.0,7,0,1959-05-30 00:00:00
102,76,64,0.0,4,0,1959-05-30 00:00:00
103,76,31,0.0,5,0,1959-05-30 00:00:00
104,76,93,0.0,6,0,1959-05-30 00:00:00
105,76,167,8.0,1,1,1959-05-30 00:00:00
106,77,31,3.0,4,0,1959-05-31 00:00:00
107,77,5,8.0,3,0,1959-05-31 00:00:00
108,77,167,14.0,1,1,1959-05-31 00:00:00
109,77,103,0.0,8,0,1959-05-31 00:00:00
110,77,93,0.0,6,0,1959-05-31 00:00:00
111,77,163,0.0,5,0,1959-05-31 00:00:00
112,77,115,0.0,7,0,1959-05-31 00:00:00
113,77,64,8.0,2,1,1959-05-31 00:00:00
114,78,167,18.0,1,1,1959-07-05 00:00:00
115,78,115,0.0,8,0,1959-07-05 00:00:00
116,78,103,0.0,6,0,1959-07-05 00:00:00
117,78,93,0.0,7,0,1959-07-05 00:00:00
118,78,31,3.0,4,0,1959-07-05 00:00:00
119,78,64,8.0,3,1,1959-07-05 00:00:00
120,78,163,0.0,5,0,1959-07-05 00:00:00
121,78,5,16.0,2,1,1959-07-05 00:00:00
122,79,116,0.0,11,0,1959-07-18 00:00:00
123,79,121,0.0,12,0,1959-07-18 00:00:00
124,79,64,14.0,3,1,1959-07-18 00:00:00
125,79,99,0.0,10,0,1959-07-18 00:00:00
126,79,167,26.0,1,2,1959-07-18 00:00:00
127,79,166,0.0,8,0,1959-07-18 00:00:00
128,79,5,16.0,2,1,1959-07-18 00:00:00
129,79,115,0.0,5,0,1959-07-18 00:00:00
130,79,103,0.0,7,0,1959-07-18 00:00:00
131,79,163,0.0,6,0,1959-07-18 00:00:00
132,79,93,0.0,9,0,1959-07-18 00:00:00
133,79,31,3.0,4,0,1959-07-18 00:00:00
134,80,121,0.0,12,0,1959-08-02 00:00:00
135,80,116,0.0,11,0,1959-08-02 00:00:00
136,80,115,0.0,6,0,1959-08-02 00:00:00
137,80,167,29.0,1,2,1959-08-02 00:00:00
138,80,5,24.0,2,2,1959-08-02 00:00:00
139,80,163,0.0,5,0,1959-08-02 00:00:00
140,80,31,3.0,4,0,1959-08-02 00:00:00
141,80,93,0.0,9,0,1959-08-02 00:00:00
142,80,103,0.0,7,0,1959-08-02 00:00:00
143,80,99,0.0,10,0,1959-08-02 00:00:00
144,80,64,16.0,3,1,1959-08-02 00:00:00
145,80,166,0.0,8,0,1959-08-02 00:00:00
146,81,166,0.0,8,0,1959-08-23 00:00:00
147,81,115,0.0,5,0,1959-08-23 00:00:00
148,81,31,3.0,4,0,1959-08-23 00:00:00
149,81,64,18.0,3,1,1959-08-23 00:00:00
150,81,163,0.0,6,0,1959-08-23 00:00:00
151,81,5,28.0,2,2,1959-08-23 00:00:00
152,81,167,34.0,1,3,1959-08-23 00:00:00
153,81,103,0.0,7,0,1959-08-23 00:00:00
154,81,99,0.0,10,0,1959-08-23 00:00:00
155,81,121,0.0,12,0,1959-08-23 00:00:00
156,81,116,0.0,11,0,1959-08-23 00:00:00
157,81,93,0.0,9,0,1959-08-23 00:00:00
158,82,93,0.0,9,0,1959-09-13 00:00:00
159,82,115,0.0,5,0,1959-09-13 00:00:00
160,82,99,0.0,10,0,1959-09-13 00:00:00
161,82,116,0.0,11,0,1959-09-13 00:00:00
162,82,103,0.0,7,0,1959-09-13 00:00:00
163,82,31,3.0,4,0,1959-09-13 00:00:00
164,82,166,0.0,8,0,1959-09-13 00:00:00
165,82,163,0.0,6,0,1959-09-13 00:00:00
166,82,5,32.0,2,2,1959-09-13 00:00:00
167,82,167,38.0,1,4,1959-09-13 00:00:00
168,82,64,18.0,3,1,1959-09-13 00:00:00
169,82,121,0.0,12,0,1959-09-13 00:00:00
170,83,123,0.0,13,0,1959-12-12 00:00:00
171,83,111,0.0,7,0,1959-12-12 00:00:00
172,83,121,0.0,16,0,1959-12-12 00:00:00
173,83,116,0.0,15,0,1959-12-12 00:00:00
174,83,99,0.0,14,0,1959-12-12 00:00:00
175,83,166,0.0,10,0,1959-12-12 00:00:00
176,83,115,0.0,5,0,1959-12-12 00:00:00
177,83,103,0.0,9,0,1959-12-12 00:00:00
178,83,93,0.0,8,0,1959-12-12 00:00:00
179,83,31,5.0,4,0,1959-12-12 00:00:00
180,83,64,18.0,3,1,1959-12-12 00:00:00
181,83,163,0.0,6,0,1959-12-12 00:00:00
182,83,5,32.0,2,2,1959-12-12 00:00:00
183,83,167,40.0,1,5,1959-12-12 00:00:00
184,83,165,0.0,11,0,1959-12-12 00:00:00
185,83,122,0.0,12,0,1959-12-12 00:00:00
186,84,31,1.0,4,0,1960-02-07 00:00:00
187,84,167,8.0,1,1,1960-02-07 00:00:00
188,84,102,0.0,6,0,1960-02-07 00:00:00
189,84,163,3.0,3,0,1960-02-07 00:00:00
190,84,64,0.0,5,0,1960-02-07 00:00:00
191,84,5,6.0,2,0,1960-02-07 00:00:00
192,84,103,0.0,7,0,1960-02-07 00:00:00
193,85,163,3.0,4,0,1960-05-29 00:00:00
194,85,103,0.0,7,0,1960-05-29 00:00:00
195,85,31,9.0,3,1,1960-05-29 00:00:00
196,85,102,0.0,6,0,1960-05-29 00:00:00
197,85,104,0.0,9,0,1960-05-29 00:00:00
198,85,5,10.0,2,0,1960-05-29 00:00:00
199,85,168,0.0,10,0,1960-05-29 00:00:00
200,85,99,0.0,8,0,1960-05-29 00:00:00
201,85,64,2.0,5,0,1960-05-29 00:00:00
202,85,167,14.0,1,1,1960-05-29 00:00:00
203,86,64,2.0,5,0,1960-05-30 00:00:00
204,86,103,0.0,7,0,1960-05-30 00:00:00
205,86,104,0.0,9,0,1960-05-30 00:00:00
206,86,167,14.0,1,1,1960-05-30 00:00:00
207,86,168,0.0,10,0,1960-05-30 00:00:00
208,86,102,0.0,6,0,1960-05-30 00:00:00
209,86,5,10.0,2,0,1960-05-30 00:00:00
210,86,163,3.0,4,0,1960-05-30 00:00:00
211,86,31,9.0,3,1,1960-05-30 00:00:00
212,86,99,0.0,8,0,1960-05-30 00:00:00
213,87,168,0.0,11,0,1960-06-06 00:00:00
214,87,103,0.0,7,0,1960-06-06 00:00:00
215,87,104,0.0,10,0,1960-06-06 00:00:00
216,87,163,3.0,5,0,1960-06-06 00:00:00
217,87,102,0.0,6,0,1960-06-06 00:00:00
218,87,99,0.0,9,0,1960-06-06 00:00:00
219,87,115,0.0,8,0,1960-06-06 00:00:00
220,87,5,12.0,3,0,1960-06-06 00:00:00
221,87,31,15.0,2,1,1960-06-06 00:00:00
222,87,167,22.0,1,2,1960-06-06 00:00:00
223,87,64,6.0,4,0,1960-06-06 00:00:00
224,88,102,0.0,6,0,1960-06-19 00:00:00
225,88,99,0.0,10,0,1960-06-19 00:00:00
226,88,167,30.0,1,3,1960-06-19 00:00:00
227,88,31,17.0,2,1,1960-06-19 00:00:00
228,88,64,6.0,4,0,1960-06-19 00:00:00
229,88,163,3.0,5,0,1960-06-19 00:00:00
230,88,103,0.0,7,0,1960-06-19 00:00:00
231,88,115,0.0,9,0,1960-06-19 00:00:00
232,88,5,15.0,3,0,1960-06-19 00:00:00
233,88,104,0.0,8,0,1960-06-19 00:00:00
234,88,168,0.0,11,0,1960-06-19 00:00:00
235,89,168,0.0,9,0,1960-07-03 00:00:00
236,89,64,6.0,4,0,1960-07-03 00:00:00
237,89,104,0.0,8,0,1960-07-03 00:00:00
238,89,31,19.0,2,1,1960-07-03 00:00:00
239,89,5,15.0,3,0,1960-07-03 00:00:00
240,89,167,38.0,1,4,1960-07-03 00:00:00
241,89,102,0.0,6,0,1960-07-03 00:00:00
242,89,103,0.0,7,0,1960-07-03 00:00:00
243,89,116,0.0,11,0,1960-07-03 00:00:00
244,89,99,0.0,12,0,1960-07-03 00:00:00
245,89,163,3.0,5,0,1960-07-03 00:00:00
246,89,115,0.0,10,0,1960-07-03 00:00:00
247,90,104,0.0,11,0,1960-07-16 00:00:00
248,90,168,0.0,10,0,1960-07-16 00:00:00
249,90,115,0.0,6,0,1960-07-16 00:00:00
250,90,116,0.0,12,0,1960-07-16 00:00:00
251,90,5,16.0,3,0,1960-07-16 00:00:00
252,90,102,0.0,7,0,1960-07-16 00:00:00
253,90,99,0.0,9,0,1960-07-16 00:00:00
254,90,167,46.0,1,5,1960-07-16 00:00:00
255,90,103,0.0,8,0,1960-07-16 00:00:00
256,90,163,3.0,5,0,1960-07-16 00:00:00
257,90,64,6.0,4,0,1960-07-16 00:00:00
258,90,31,25.0,2,1,1960-07-16 00:00:00
259,91,163,3.0,5,0,1960-08-14 00:00:00
260,91,104,0.0,11,0,1960-08-14 00:00:00
261,91,103,0.0,8,0,1960-08-14 00:00:00
262,91,116,0.0,12,0,1960-08-14 00:00:00
263,91,5,19.0,3,0,1960-08-14 00:00:00
264,91,31,28.0,2,1,1960-08-14 00:00:00
265,91,167,48.0,1,6,1960-08-14 00:00:00
266,91,168,0.0,10,0,1960-08-14 00:00:00
267,91,115,0.0,6,0,1960-08-14 00:00:00
268,91,99,0.0,9,0,1960-08-14 00:00:00
269,91,64,6.0,4,0,1960-08-14 00:00:00
270,91,102,0.0,7,0,1960-08-14 00:00:00
271,92,167,48.0,1,6,1960-09-04 00:00:00
272,92,116,0.0,13,0,1960-09-04 00:00:00
273,92,115,0.0,9,0,1960-09-04 00:00:00
274,92,31,28.0,2,1,1960-09-04 00:00:00
275,92,104,0.0,12,0,1960-09-04 00:00:00
276,92,168,3.0,6,0,1960-09-04 00:00:00
277,92,99,0.0,11,0,1960-09-04 00:00:00
278,92,103,0.0,10,0,1960-09-04 00:00:00
279,92,102,0.0,8,0,1960-09-04 00:00:00
280,92,64,6.0,4,0,1960-09-04 00:00:00
281,92,163,3.0,5,0,1960-09-04 00:00:00
282,92,93,1.0,7,0,1960-09-04 00:00:00
283,92,5,26.0,3,1,1960-09-04 00:00:00
284,93,104,0.0,9,0,1960-11-20 00:00:00
285,93,99,0.0,12,0,1960-11-20 00:00:00
286,93,102,0.0,8,0,1960-11-20 00:00:00
287,93,103,0.0,11,0,1960-11-20 00:00:00
288,93,116,0.0,13,0,1960-11-20 00:00:00
289,93,168,3.0,6,0,1960-11-20 00:00:00
290,93,93,1.0,7,0,1960-11-20 00:00:00
291,93,5,26.0,3,1,1960-11-20 00:00:00
292,93,31,34.0,2,2,1960-11-20 00:00:00
293,93,167,48.0,1,6,1960-11-20 00:00:00
294,93,64,8.0,4,0,1960-11-20 00:00:00
295,93,163,3.0,5,0,1960-11-20 00:00:00
296,93,115,0.0,10,0,1960-11-20 00:00:00
297,94,93,2.0,3,0,1961-05-14 00:00:00
298,94,97,0.0,7,0,1961-05-14 00:00:00
299,94,163,0.0,5,0,1961-05-14 00:00:00
300,94,169,9.0,1,1,1961-05-14 00:00:00
301,94,64,0.0,6,0,1961-05-14 00:00:00
302,94,167,1.0,4,0,1961-05-14 00:00:00
303,94,5,6.0,2,0,1961-05-14 00:00:00
304,95,167,2.0,4,0,1961-05-22 00:00:00
305,95,5,15.0,1,1,1961-05-22 00:00:00
306,95,97,0.0,7,0,1961-05-22 00:00:00
307,95,163,0.0,5,0,1961-05-22 00:00:00
308,95,64,0.0,6,0,1961-05-22 00:00:00
309,95,169,13.0,2,1,1961-05-22 00:00:00
310,95,93,2.0,3,0,1961-05-22 00:00:00
311,96,5,24.0,1,2,1961-06-18 00:00:00
312,96,169,13.0,2,1,1961-06-18 00:00:00
313,96,64,0.0,6,0,1961-06-18 00:00:00
314,96,167,4.0,3,0,1961-06-18 00:00:00
315,96,163,0.0,5,0,1961-06-18 00:00:00
316,96,93,3.0,4,0,1961-06-18 00:00:00
317,96,97,0.0,7,0,1961-06-18 00:00:00
318,97,64,1.0,5,0,1961-07-02 00:00:00
319,97,163,0.0,6,0,1961-07-02 00:00:00
320,97,99,0.0,9,0,1961-07-02 00:00:00
321,97,97,0.0,7,0,1961-07-02 00:00:00
322,97,167,6.0,4,0,1961-07-02 00:00:00
323,97,93,9.0,3,0,1961-07-02 00:00:00
324,97,5,33.0,1,3,1961-07-02 00:00:00
325,97,169,17.0,2,1,1961-07-02 00:00:00
326,97,171,0.0,8,0,1961-07-02 00:00:00
327,98,167,9.0,4,0,1961-07-15 00:00:00
328,98,95,0.0,7,0,1961-07-15 00:00:00
329,98,171,0.0,9,0,1961-07-15 00:00:00
330,98,99,0.0,10,0,1961-07-15 00:00:00
331,98,5,42.0,1,4,1961-07-15 00:00:00
332,98,169,17.0,2,1,1961-07-15 00:00:00
333,98,93,11.0,3,0,1961-07-15 00:00:00
334,98,163,0.0,6,0,1961-07-15 00:00:00
335,98,97,0.0,8,0,1961-07-15 00:00:00
336,98,64,1.0,5,0,1961-07-15 00:00:00
337,99,64,1.0,5,0,1961-08-06 00:00:00
338,99,97,0.0,8,0,1961-08-06 00:00:00
339,99,171,0.0,9,0,1961-08-06 00:00:00
340,99,99,0.0,11,0,1961-08-06 00:00:00
341,99,5,42.0,1,4,1961-08-06 00:00:00
342,99,95,0.0,7,0,1961-08-06 00:00:00
343,99,169,26.0,2,2,1961-08-06 00:00:00
344,99,101,0.0,10,0,1961-08-06 00:00:00
345,99,167,10.0,4,0,1961-08-06 00:00:00
346,99,163,0.0,6,0,1961-08-06 00:00:00
347,99,93,11.0,3,0,1961-08-06 00:00:00
348,100,101,0.0,13,0,1961-09-10 00:00:00
349,100,99,0.0,12,0,1961-09-10 00:00:00
350,100,171,0.0,11,0,1961-09-10 00:00:00
351,100,5,45.0,1,5,1961-09-10 00:00:00
352,100,169,26.0,2,2,1961-09-10 00:00:00
353,100,95,0.0,7,0,1961-09-10 00:00:00
354,100,167,13.0,4,0,1961-09-10 00:00:00
355,100,93,17.0,3,0,1961-09-10 00:00:00
356,100,64,3.0,5,0,1961-09-10 00:00:00
357,100,97,0.0,10,0,1961-09-10 00:00:00
358,100,170,0.0,8,0,1961-09-10 00:00:00
359,100,172,0.0,9,0,1961-09-10 00:00:00
360,100,163,0.0,6,0,1961-09-10 00:00:00
361,101,97,0.0,10,0,1961-10-08 00:00:00
362,101,93,22.0,3,0,1961-10-08 00:00:00
363,101,167,14.0,4,0,1961-10-08 00:00:00
364,101,163,0.0,6,0,1961-10-08 00:00:00
365,101,171,0.0,11,0,1961-10-08 00:00:00
366,101,172,0.0,9,0,1961-10-08 00:00:00
367,101,170,0.0,8,0,1961-10-08 00:00:00
368,101,101,0.0,13,0,1961-10-08 00:00:00
369,101,64,7.0,5,0,1961-10-08 00:00:00
370,101,99,0.0,12,0,1961-10-08 00:00:00
371,101,95,0.0,7,0,1961-10-08 00:00:00
372,101,169,35.0,2,3,1961-10-08 00:00:00
373,101,5,45.0,1,5,1961-10-08 00:00:00
374,102,93,1.0,5,0,1962-05-20 00:00:00
375,102,25,0.0,7,0,1962-05-20 00:00:00
376,102,97,0.0,6,0,1962-05-20 00:00:00
377,102,64,9.0,1,1,1962-05-20 00:00:00
378,102,169,6.0,2,0,1962-05-20 00:00:00
379,102,5,4.0,3,0,1962-05-20 00:00:00
380,102,167,2.0,4,0,1962-05-20 00:00:00
381,103,93,3.0,6,0,1962-06-03 00:00:00
382,103,64,10.0,2,1,1962-06-03 00:00:00
383,103,169,6.0,4,0,1962-06-03 00:00:00
384,103,172,0.0,9,0,1962-06-03 00:00:00
385,103,173,0.0,8,0,1962-06-03 00:00:00
386,103,25,3.0,5,0,1962-06-03 00:00:00
387,103,97,0.0,7,0,1962-06-03 00:00:00
388,103,167,11.0,1,1,1962-06-03 00:00:00
389,103,5,10.0,3,0,1962-06-03 00:00:00
390,104,64,16.0,1,1,1962-06-17 00:00:00
391,104,167,11.0,4,1,1962-06-17 00:00:00
392,104,169,15.0,2,1,1962-06-17 00:00:00
393,104,5,14.0,3,0,1962-06-17 00:00:00
394,104,93,3.0,6,0,1962-06-17 00:00:00
395,104,172,0.0,9,0,1962-06-17 00:00:00
396,104,173,0.0,8,0,1962-06-17 00:00:00
397,104,25,5.0,5,0,1962-06-17 00:00:00
398,104,97,0.0,7,0,1962-06-17 00:00:00
399,105,85,0.0,7,0,1962-07-08 00:00:00
400,105,169,15.0,3,1,1962-07-08 00:00:00
401,105,64,20.0,1,1,1962-07-08 00:00:00
402,105,31,0.0,10,0,1962-07-08 00:00:00
403,105,93,12.0,5,1,1962-07-08 00:00:00
404,105,167,17.0,2,1,1962-07-08 00:00:00
405,105,97,0.0,9,0,1962-07-08 00:00:00
406,105,25,7.0,6,0,1962-07-08 00:00:00
407,105,173,0.0,8,0,1962-07-08 00:00:00
408,105,172,0.0,11,0,1962-07-08 00:00:00
409,105,5,14.0,4,0,1962-07-08 00:00:00
410,106,169,24.0,1,2,1962-07-21 00:00:00
411,106,5,14.0,4,0,1962-07-21 00:00:00
412,106,64,23.0,2,1,1962-07-21 00:00:00
413,106,93,12.0,6,1,1962-07-21 00:00:00
414,106,167,21.0,3,1,1962-07-21 00:00:00
415,106,97,0.0,7,0,1962-07-21 00:00:00
416,106,25,13.0,5,0,1962-07-21 00:00:00
417,106,172,0.0,11,0,1962-07-21 00:00:00
418,106,85,0.0,8,0,1962-07-21 00:00:00
419,106,31,0.0,10,0,1962-07-21 00:00:00
420,106,95,0.0,12,0,1962-07-21 00:00:00
421,106,173,0.0,9,0,1962-07-21 00:00:00
422,107,5,15.0,6,0,1962-08-05 00:00:00
423,107,93,16.0,5,1,1962-08-05 00:00:00
424,107,64,31.0,1,2,1962-08-05 00:00:00
425,107,169,27.0,2,2,1962-08-05 00:00:00
426,107,97,0.0,7,0,1962-08-05 00:00:00
427,107,173,0.0,10,0,1962-08-05 00:00:00
428,107,167,23.0,3,1,1962-08-05 00:00:00
429,107,33,0.0,12,0,1962-08-05 00:00:00
430,107,172,0.0,14,0,1962-08-05 00:00:00
431,107,85,0.0,9,0,1962-08-05 00:00:00
432,107,98,0.0,8,0,1962-08-05 00:00:00
433,107,95,0.0,13,0,1962-08-05 00:00:00
434,107,31,0.0,11,0,1962-08-05 00:00:00
435,107,25,19.0,4,0,1962-08-05 00:00:00
436,108,33,0.0,12,0,1962-09-16 00:00:00
437,108,84,0.0,16,0,1962-09-16 00:00:00
438,108,5,18.0,5,0,1962-09-16 00:00:00
439,108,174,0.0,17,0,1962-09-16 00:00:00
440,108,97,0.0,7,0,1962-09-16 00:00:00
441,108,171,0.0,15,0,1962-09-16 00:00:00
442,108,31,0.0,11,0,1962-09-16 00:00:00
443,108,93,17.0,6,1,1962-09-16 00:00:00
444,108,172,0.0,14,0,1962-09-16 00:00:00
445,108,98,0.0,9,0,1962-09-16 00:00:00
446,108,95,0.0,13,0,1962-09-16 00:00:00
447,108,173,0.0,8,0,1962-09-16 00:00:00
448,108,167,25.0,3,1,1962-09-16 00:00:00
449,108,169,27.0,2,2,1962-09-16 00:00:00
450,108,64,37.0,1,3,1962-09-16 00:00:00
451,108,85,0.0,10,0,1962-09-16 00:00:00
452,108,25,19.0,4,0,1962-09-16 00:00:00
453,109,169,36.0,2,3,1962-10-07 00:00:00
454,109,98,0.0,10,0,1962-10-07 00:00:00
455,109,174,0.0,17,0,1962-10-07 00:00:00
456,109,84,0.0,16,0,1962-10-07 00:00:00
457,109,25,19.0,4,0,1962-10-07 00:00:00
458,109,97,0.0,9,0,1962-10-07 00:00:00
459,109,93,18.0,5,1,1962-10-07 00:00:00
460,109,33,3.0,7,0,1962-10-07 00:00:00
461,109,64,39.0,1,3,1962-10-07 00:00:00
462,109,95,0.0,13,0,1962-10-07 00:00:00
463,109,172,0.0,14,0,1962-10-07 00:00:00
464,109,173,1.0,8,0,1962-10-07 00:00:00
465,109,31,0.0,12,0,1962-10-07 00:00:00
466,109,167,27.0,3,1,1962-10-07 00:00:00
467,109,5,18.0,6,0,1962-10-07 00:00:00
468,109,171,0.0,15,0,1962-10-07 00:00:00
469,109,85,0.0,11,0,1962-10-07 00:00:00
470,110,169,36.0,2,3,1962-12-29 00:00:00
471,110,167,29.0,3,1,1962-12-29 00:00:00
472,110,93,18.0,5,1,1962-12-29 00:00:00
473,110,25,19.0,4,0,1962-12-29 00:00:00
474,110,5,18.0,6,0,1962-12-29 00:00:00
475,110,97,0.0,9,0,1962-12-29 00:00:00
476,110,175,0.0,13,0,1962-12-29 00:00:00
477,110,85,0.0,11,0,1962-12-29 00:00:00
478,110,172,0.0,16,0,1962-12-29 00:00:00
479,110,64,42.0,1,4,1962-12-29 00:00:00
480,110,98,0.0,10,0,1962-12-29 00:00:00
481,110,33,6.0,7,0,1962-12-29 00:00:00
482,110,173,1.0,8,0,1962-12-29 00:00:00
483,110,95,0.0,15,0,1962-12-29 00:00:00
484,110,87,0.0,12,0,1962-12-29 00:00:00
485,110,174,0.0,19,0,1962-12-29 00:00:00
486,110,84,0.0,18,0,1962-12-29 00:00:00
487,110,171,0.0,17,0,1962-12-29 00:00:00
488,110,31,0.0,14,0,1962-12-29 00:00:00
489,111,64,9.0,1,1,1963-05-26 00:00:00
490,111,93,0.0,11,0,1963-05-26 00:00:00
491,111,90,0.0,9,0,1963-05-26 00:00:00
492,111,52,0.0,8,0,1963-05-26 00:00:00
493,111,173,0.0,5,0,1963-05-26 00:00:00
494,111,169,1.0,4,0,1963-05-26 00:00:00
495,111,5,3.0,3,0,1963-05-26 00:00:00
496,111,167,4.0,2,0,1963-05-26 00:00:00
497,111,84,0.0,10,0,1963-05-26 00:00:00
498,111,25,0.0,6,0,1963-05-26 00:00:00
499,111,33,0.0,7,0,1963-05-26 00:00:00
500,112,84,0.0,12,0,1963-06-09 00:00:00
501,112,5,3.0,5,0,1963-06-09 00:00:00
502,112,93,1.0,6,0,1963-06-09 00:00:00
503,112,92,0.0,11,0,1963-06-09 00:00:00
504,112,173,0.0,8,0,1963-06-09 00:00:00
505,112,52,0.0,10,0,1963-06-09 00:00:00
506,112,33,4.0,4,0,1963-06-09 00:00:00
507,112,64,12.0,1,1,1963-06-09 00:00:00
508,112,169,10.0,2,1,1963-06-09 00:00:00
509,112,167,10.0,3,0,1963-06-09 00:00:00
510,112,90,0.0,7,0,1963-06-09 00:00:00
511,112,25,0.0,9,0,1963-06-09 00:00:00
512,113,93,1.0,7,0,1963-06-23 00:00:00
513,113,167,10.0,3,0,1963-06-23 00:00:00
514,113,92,3.0,6,0,1963-06-23 00:00:00
515,113,90,0.0,9,0,1963-06-23 00:00:00
