circuitId,circuitRef,name,location,country,lat,lng,alt
32,phoenix,Phoenix street circuit,Phoenix,USA,33.4479,-112.075,345.0
33,ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,432.0
34,yeongam,Korean International Circuit,Yeongam County,Korea,34.7333,126.417,0.0
35,jacarepagua,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,-22.9756,-43.395,1126.0
36,detroit,Detroit Street Circuit,Detroit,USA,42.3298,-83.0401,177.0
37,brands_hatch,Brands Hatch,Kent,UK,51.3569,0.263056,145.0
38,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,6.0
39,zolder,Zolder,Heusden-Zolder,Belgium,50.9894,5.25694,36.0
40,dijon,Dijon-Prenois,Dijon,France,47.3625,4.89913,484.0
41,dallas,Fair Park,Dallas,USA,32.7774,-96.7587,139.0
42,long_beach,Long Beach,California,USA,33.7651,-118.189,12.0
43,las_vegas,Las Vegas Street Circuit,Nevada,USA,36.1162,-115.174,639.0
44,jarama,Jarama,Madrid,Spain,40.6171,-3.58558,609.0
45,watkins_glen,Watkins Glen,New York State,USA,42.3369,-76.9272,485.0
46,anderstorp,Scandinavian Raceway,Anderstorp,Sweden,57.2653,13.6042,153.0
47,mosport,Mosport International Raceway,Ontario,Canada,44.0481,-78.6756,332.0
48,montjuic,Montjuïc,Barcelona,Spain,41.3664,2.15167,79.0
49,nivelles,Nivelles-Baulers,Brussels,Belgium,50.6211,4.32694,139.0
50,charade,Charade Circuit,Clermont-Ferrand,France,45.7472,3.03889,790.0
51,tremblant,Circuit Mont-Tremblant,Quebec,Canada,46.1877,-74.6099,214.0
52,essarts,Rouen-Les-Essarts,Rouen,France,49.3306,1.00458,81.0
53,lemans,Le Mans,Le Mans,France,47.95,0.224231,67.0
54,reims,Reims-Gueux,Reims,France,49.2542,3.93083,88.0
55,george,Prince George Circuit,Eastern Cape Province,South Africa,-33.0486,27.8736,15.0
56,zeltweg,Zeltweg,Styria,Austria,47.2039,14.7478,676.0
57,aintree,Aintree,Liverpool,UK,53.4769,-2.94056,20.0
58,boavista,Circuito da Boavista,Oporto,Portugal,41.1705,-8.67325,28.0
59,riverside,Riverside International Raceway,California,USA,33.937,-117.273,470.0
60,avus,AVUS,Berlin,Germany,52.4806,13.2514,53.0
61,monsanto,Monsanto Park Circuit,Lisbon,Portugal,38.7197,-9.20306,158.0
62,sebring,Sebring International Raceway,Florida,USA,27.4547,-81.3483,18.0
63,ain-diab,Ain Diab,Casablanca,Morocco,33.5786,-7.6875,19.0
64,pescara,Pescara Circuit,Pescara,Italy,42.475,14.1508,129.0
65,bremgarten,Circuit Bremgarten,Bern,Switzerland,46.9589,7.40194,551.0
66,pedralbes,Circuit de Pedralbes,Barcelona,Spain,41.3903,2.11667,85.0
67,buddh,Buddh International Circuit,Uttar Pradesh,India,28.3487,77.5331,194.0
68,americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411,161.0
69,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,678.0
70,sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,2.0
71,baku,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,-7.0
72,portimao,Autódromo Internacional do Algarve,Portimão,Portugal,37.227,-8.6267,108.0
73,mugello,Autodromo Internazionale del Mugello,Mugello,Italy,43.9975,11.3719,255.0
74,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044,15.0
75,losail,Losail International Circuit,Al Daayen,Qatar,25.49,51.4542,
76,miami,Miami International Autodrome,Miami,USA,25.9581,-80.2389,
