id,post_id,user_id,post_history_type_id,user_display_name,content_license,revision_guid,text,comment,creation_date
864,412,186.0,2,,CC BY-SA 2.5,cafcf180-f874-4b98-a9a4-8167bc6c8e35,"What book would you recommend for scientists who are not statisticians?

Clear delivery is most appreciated. As well as the explanation of the appropriate techniques and methods for typical tasks: time series analysis, presentation and aggregation of large data sets.",,2010-07-21 15:01:21.127
865,412,186.0,1,,CC BY-SA 2.5,cafcf180-f874-4b98-a9a4-8167bc6c8e35,What book would you recommend for non-statistician?,,2010-07-21 15:01:21.127
866,412,186.0,16,,,cafcf180-f874-4b98-a9a4-8167bc6c8e35,,,2010-07-21 15:01:21.127
863,412,186.0,3,,CC BY-SA 2.5,cafcf180-f874-4b98-a9a4-8167bc6c8e35,<references><science>,,2010-07-21 15:01:21.127
872,414,4.0,16,,,f43ac356-f089-4201-b246-91cced19a08b,,,2010-07-21 15:13:21.493
871,414,4.0,1,,CC BY-SA 2.5,f43ac356-f089-4201-b246-91cced19a08b,"What is your favorite ""data analysis"" cartoon?",,2010-07-21 15:13:21.493
869,414,4.0,2,,CC BY-SA 2.5,f43ac356-f089-4201-b246-91cced19a08b,"This is one of my favorites:

![alt text][1]

One entry per answer.  This is in the vein of [this StackOverflow question][2].

P.S. Do not hotlink the cartoon without the site's permission please.


  [1]: http://imgs.xkcd.com/comics/correlation.png
  [2]: http://stackoverflow.com/questions/84556/whats-your-favorite-programmer-cartoon",,2010-07-21 15:13:21.493
870,414,4.0,3,,CC BY-SA 2.5,f43ac356-f089-4201-b246-91cced19a08b,<humor>,,2010-07-21 15:13:21.493
1014,412,190.0,6,,CC BY-SA 2.5,673b9773-839a-4584-a7a9-2c64642d1fd8,<textbook><references><science>,edited tags,2010-07-22 12:56:00.153
1106,541,,2,user28,CC BY-SA 2.5,9ba6544f-eddd-49b9-834a-4a38974300ff,"ANOVA is equivalent to linear regression with the use of suitable dummy variables. The conclusions remain the same irrespective of whether you use ANOVA or linear regression. 

In light of their equivalence, is there any reason why ANOVA is used instead of linear regression? 

Note: I am particularly interested in hearing about **technical** reasons for the use of ANOVA instead of linear regression. ",,2010-07-23 15:17:56.770
1104,541,,3,user28,CC BY-SA 2.5,9ba6544f-eddd-49b9-834a-4a38974300ff,<regression><anova>,,2010-07-23 15:17:56.770
1105,541,,1,user28,CC BY-SA 2.5,9ba6544f-eddd-49b9-834a-4a38974300ff,Why is ANOVA taught / used as if it is a different research methodology compared to linear regression? ,,2010-07-23 15:17:56.770
7706,3188,450.0,2,,CC BY-SA 2.5,1c727d83-861b-4e39-be04-68dda5440df8,"It's bad form to sort an array to compute a median. Medians (and other quantiles) are typically computed using the [quickselect][1] algorithm, with $O(n)$ complexity.


You may also want to look at my answer to a recent related question [here][2].


  [1]: http://www.ics.uci.edu/~eppstein/161/960125.html
  [2]: http://stats.stackexchange.com/questions/3372/is-it-possible-to-accumulate-a-set-of-statistics-that-describes-a-large-number-of/3376#3376",,2010-10-09 19:02:09.717
8970,3646,211.0,1,,CC BY-SA 2.5,362780e6-f8e1-4074-a58c-1bc9aa366330,Kendall Tau or Spearman's rho ?,,2010-10-24 13:15:49.687
8969,3646,211.0,2,,CC BY-SA 2.5,362780e6-f8e1-4074-a58c-1bc9aa366330,"In which cases should one prefer the one over the other?

I found someone who claims an advantage for Kendall, [for pedagogical reasons][1], are there other reasons?


  [1]: http://www.rsscse.org.uk/ts/bts/noether/text.html",,2010-10-24 13:15:49.687
8971,3646,211.0,3,,CC BY-SA 2.5,362780e6-f8e1-4074-a58c-1bc9aa366330,<correlation><nonparametric>,,2010-10-24 13:15:49.687
1111,543,182.0,2,,CC BY-SA 2.5,604765be-29fa-42bb-8e40-6909a0f62e8f,"As an economist, the analysis of variance (ANOVA) is taught and usually understood in relation to linear regression (e.g. in Arthur Goldberger's *A Course in Econometrics*). Economists/Econometricians typically view ANOVA as uninteresting and prefer to move straight to regression models. From the perspective of linear (or even generalised linear) models, ANOVA assigns coefficients into batches, with each batch corresponding to a ""source of variation"" in ANOVA terminology.

Generally you can replicate the inferences you would obtain from ANOVA using regression but not always OLS regression. Multilevel models are needed for analysing hierarchical data structures such as ""split-plot designs,"" where between-group effects are compared to group-level errors, and within-group effects are compared to data-level errors. Gelman's paper [1] goes into great detail about this problem and effectively argues that ANOVA is an important statistical tool that should still be taught for it's own sake.

In particular Gelman argues that ANOVA is a way of understanding and structuring multilevel models. Therefore ANOVA is not an alternative to regression but as a tool for summarizing complex high-dimensional inferences and for exploratory data analysis. 

Gelman is a well-respected statistician and some credence should be given to his view. However, almost all of the empirical work that I do would be equally well served by linear regression and so I firmly fall into the camp of viewing it as a little bit pointless. Some disciplines with complex study designs (e.g. psychology) may find ANOVA useful.

[1] Gelman, A. (2005). Analysis of variance: why it is more important than ever (with discussion). *Annals of Statistics* 33, 1–53.",,2010-07-23 15:35:55.653
1112,541,,5,user28,CC BY-SA 2.5,9e914d5f-91a3-4993-afe7-e09b9455d94a,"ANOVA is equivalent to linear regression with the use of suitable dummy variables. The conclusions remain the same irrespective of whether you use ANOVA or linear regression. 

In light of their equivalence, is there any reason why ANOVA is used instead of linear regression? 

Note: I am particularly interested in hearing about **technical** reasons for the use of ANOVA instead of linear regression. 

**Edit**

Here is one example using one-way ANOVA. Suppose, you want to know if the average height of male and females is the same. To test for your hypothesis you would collect data from a random   sample of male and females (say 30 each) and perform the ANOVA analysis (i.e., sum of squares for gender and error) to decide whether an effect exists.

You could also use linear regression to test for this as follows:

Define:

Gender = 1 if respondent is a male and 0 otherwise.

Height = Intercept + beta * Gender + error

where

error ~ N(0,sigma^2)

Then a test of whether beta = 0 is a an equivalent test for your hypothesis.",added 650 characters in body,2010-07-23 15:44:44.420
1184,412,,6,,CC BY-SA 2.5,07dd87c5-5a69-4a97-b688-f7c2f19ef30a,<textbook><references><subjective><science>,Added the 'subjective' tag to the question,2010-07-24 09:53:34.437
1185,412,,9,,CC BY-SA 2.5,cdbfc8ae-9930-4e8d-85fb-2e9dd9e5ad49,<textbook><references><science>,Rollback to [673b9773-839a-4584-a7a9-2c64642d1fd8],2010-07-24 09:58:03.123
1253,412,,6,,CC BY-SA 2.5,51620419-30bc-4850-8129-9357dfc28496,<textbook><science>,edited tags,2010-07-26 09:48:59.033
1255,412,186.0,9,,CC BY-SA 2.5,6b52e104-aad0-4e04-bad5-8a5c25a64489,<references><science>,Rollback to [cafcf180-f874-4b98-a9a4-8167bc6c8e35],2010-07-26 10:35:37.920
2349,143,,6,,CC BY-SA 2.5,1d9dd915-3289-489f-8816-9699a9ffd407,<algorithms><median>,edited tags,2010-08-03 12:14:50.543
2694,1248,399.0,1,,CC BY-SA 2.5,e161200b-7be7-4d74-86d2-a71767e9dcfa,Statistics Jokes,,2010-08-06 01:53:47.023
2696,1248,399.0,3,,CC BY-SA 2.5,e161200b-7be7-4d74-86d2-a71767e9dcfa,<humor>,,2010-08-06 01:53:47.023
2695,1248,399.0,2,,CC BY-SA 2.5,e161200b-7be7-4d74-86d2-a71767e9dcfa,"Well we've got favourite statistics quotes. What about statistics jokes?

So, what's your favourite statistics joke?",,2010-08-06 01:53:47.023
2699,1248,132.0,16,,,00000000-0000-0000-0000-000000000000,,,2010-08-06 02:30:56.857
3008,28,4.0,16,,,c45d4a16-e06d-4fd0-9c2c-540cd4aafb53,,,2010-08-09 13:05:50.603
3007,28,4.0,6,,CC BY-SA 2.5,c45d4a16-e06d-4fd0-9c2c-540cd4aafb53,<machine-learning><statistics>,edited tags,2010-08-09 13:05:50.603
3201,412,,5,,CC BY-SA 2.5,d733de28-55d8-4b51-8726-b570a14f5734,"What book would you recommend for scientists who are not statisticians?

Clear delivery is most appreciated. As well as the explanation of the appropriate techniques and methods for typical tasks: time series analysis, presentation and aggregation of large data sets.
",added 2 characters in body; edited title,2010-08-11 08:26:44.373
3202,412,,4,,CC BY-SA 2.5,d733de28-55d8-4b51-8726-b570a14f5734,What book would you recommend for non-statisticians?,added 2 characters in body; edited title,2010-08-11 08:26:44.373
3207,414,,5,,CC BY-SA 2.5,2e347005-52d7-4f9b-abd1-cb638923071e,"This is one of my favorites:

![alt text][1]

One entry per answer. This is in the vein of the Stack Overflow question *[What’s your favorite “programmer” cartoon?][2]*.

P.S. Do not hotlink the cartoon without the site's permission please.

  [1]: http://imgs.xkcd.com/comics/correlation.png
  [2]: http://stackoverflow.com/questions/84556/whats-your-favorite-programmer-cartoon",Named the link.,2010-08-11 08:49:02.137
3437,143,0.0,11,,,24eae004-c4b8-4ea9-b154-03167c95c3d1,"{""Voters"":[{""Id"":251,""DisplayName"":""ars""},{""Id"":159,""DisplayName"":""Rob Hyndman""}]}",,2010-08-13 00:30:00.863
4009,1760,723.0,2,,CC BY-SA 2.5,2f78dcca-ecb1-4452-ba76-9a3f08a4d4a8,"A question which bothered me for some time, which I don't know how to address:

Every day, my weatherman gives a percentage chance of rain (let's assume its calculated to 9000 digits and he has never repeated a number). Every subsequent day, it either rains or does not rain.

I have years of data - pct chance vs rain or not. *Given this weatherman's history*, if he says tonight that tomorrow's chance of rain is X, then what's my best guess as to what the chance of rain really is?",,2010-08-19 05:56:06.483
4010,1760,723.0,3,,CC BY-SA 2.5,2f78dcca-ecb1-4452-ba76-9a3f08a4d4a8,<statistical-analysis>,,2010-08-19 05:56:06.483
4008,1760,723.0,1,,CC BY-SA 2.5,2f78dcca-ecb1-4452-ba76-9a3f08a4d4a8,Is my weatherman accurate?,,2010-08-19 05:56:06.483
23159,8529,,25,,,b92a50c2-35a0-47ed-aecc-68cbee4e0a5b,,http://twitter.com/#!/StackStats/status/56463592052109312,2011-04-08 21:09:04.103
23167,8529,,4,user88,CC BY-SA 3.0,11972e04-1927-4d3e-8f39-b951d3b85b96,What are some interesting and well-written applied statistics papers?,edited title,2011-04-08 23:28:40.090
23237,8529,674.0,6,,CC BY-SA 3.0,582ad9c9-14e6-459d-9848-43f193916195,<big-list><application>,add tag + link to CVJC paper,2011-04-09 18:54:46.130
68726,22797,674.0,4,,CC BY-SA 3.0,808bec7e-d707-4701-afc0-0ab8c121377c,How does regression with and without intercept followed by test of stationarity affect cointegration test?,edited title,2012-04-02 10:34:42.647
176732,54724,16174.0,6,,CC BY-SA 3.0,53b4720d-700c-43c1-84e2-57f73d508e02,<machine-learning><model>,"Sentence case style in title, tag, LaTeX",2013-09-04 20:39:44.190
176731,54724,,24,,CC BY-SA 3.0,53b4720d-700c-43c1-84e2-57f73d508e02,,"Proposed by 22468 approved by 7290, 14156 edit id of 5245",2013-09-04 20:39:44.190
4068,1787,668.0,2,,CC BY-SA 2.5,77e02a1c-de83-4092-9220-e10415c1128e,"In effect you are thinking of a model in which the *true* chance of rain, *p*, is a function of the *predicted* chance *q*: *p* = *p(q*).  Each time a prediction is made, you observe one realization of a Bernoulli variate having probability *p(q)* of success.  This is a classic logistic regression setup if you are willing to model the true chance as a linear combination of basis functions *f1*, *f2*, ..., *fk*; that is, the model says

>Logit(*p*) = *b0* + *b1 f1(q)* + *b2 f2(q)* + ... + *bk fk(q)* + *e*

with iid errors *e*.  If you're agnostic about the form of the relationship (although if the weatherman is any good *p(q) - q* should be reasonably small), consider using a set of splines for the basis.  The output, as usual, consists of estimates of the coefficients and an estimate of the variance of *e*.  Given any future prediction *q*, just plug the value into the model with the estimated coefficients to obtain an answer to your question (and use the variance of *e* to construct a prediction interval around that answer if you like).

This framework is flexible enough to include other factors, such as the possibility of changes in the quality of predictions over time.  It also lets you test hypotheses, such as whether *p* = *q* (which is what the weatherman implicitly claims).",,2010-08-19 13:21:56.153
4922,2156,114.0,2,,CC BY-SA 2.5,de2d608e-1eae-4ffb-b7aa-21aab24c7e98,"I'm working on a small (200M) corpus of text, which I want to explore with some cluster analysis. What books or articles on that subject would you recommend?  

",,2010-09-01 23:57:06.760
4923,2156,114.0,1,,CC BY-SA 2.5,de2d608e-1eae-4ffb-b7aa-21aab24c7e98,Recommended books or articles as introduction to Cluster Analysis?,,2010-09-01 23:57:06.760
4924,2156,114.0,3,,CC BY-SA 2.5,de2d608e-1eae-4ffb-b7aa-21aab24c7e98,<machine-learning><statistics><clustering><recommendations>,,2010-09-01 23:57:06.760
4955,2156,,16,user88,,00000000-0000-0000-0000-000000000000,,,2010-09-02 09:35:37.073
4959,2169,674.0,2,,CC BY-SA 2.5,fd9acf1f-7cf0-4596-82c6-e8a9ce70feb0,"It may be worth looking at M.W. Berry's books: 

1. *Survey of Text Mining I: Clustering, Classification, and Retrieval* (2003)
2. *Survey of Text Mining II: Clustering, Classification, and Retrieval* (2008)

They consist of series of applied and review papers. The latest seems to be available as PDF at the following address: http://bit.ly/deNeiy.

Here are few links related to CA as applied to text mining: 

* [Document Topic Generation in Text Mining by Using Cluster Analysis with EROCK][1]
* [An Approach to Text Mining using Information Extraction][2]

You can also look at *Latent Semantic Analysis*, but see my response there: [Working through a clustering problem][3]. 


  [1]: http://www.cscjournals.org/csc/manuscript/Journals/IJCSS/volume4/Issue2/IJCSS-271.pdf
  [2]: http://www.google.fr/url?sa=t&source=web&cd=8&ved=0CFoQFjAH&url=http%3A%2F%2Fciteseerx.ist.psu.edu%2Fviewdoc%2Fdownload%3Fdoi%3D10.1.1.21.8862%26rep%3Drep1%26type%3Dpdf&ei=P3h_TJXfAdT34AbIuN3TCw&usg=AFQjCNHaVKyo45HtjNKiEPvFnPuvD2MvmQ&sig2=vPQ1BmIz8vb16q1Oysi8_g
  [3]: http://stats.stackexchange.com/questions/369/working-through-a-clustering-problem/2196#2196",,2010-09-02 10:25:32.673
4958,2169,0.0,16,,,fd9acf1f-7cf0-4596-82c6-e8a9ce70feb0,,,2010-09-02 10:25:32.673
5781,2509,628.0,2,,CC BY-SA 2.5,27c1371d-3a9a-4aba-ad50-45fbe0e7477c,"In today's pattern recognition class my professor talked about Principal Component Analysis , Eigen Vectors & Eigen Values. 

I got the mathematics of it. If I'm asked to find eigen values etc. I'll do it correctly like a machine. But I didn't **Understand** it. I didn't get the purpose of it. I didn't get the feel of it.  I strongly believe in 

>you do not really understand something unless you can explain it to your grandmother -- Albert Einstien

Well, I can't explain these concepts to a layman or grandma.

1. Why Principal Component Analysis , Eigen Vectors & Eigen Values? What was the *need* for these concepts?
2. How would you explain these to a layman?",,2010-09-15 20:05:55.993
5782,2509,628.0,1,,CC BY-SA 2.5,27c1371d-3a9a-4aba-ad50-45fbe0e7477c,"Making sense of Principal Component Analysis , Eigen Vectors & Eigen Values",,2010-09-15 20:05:55.993
5783,2509,628.0,3,,CC BY-SA 2.5,27c1371d-3a9a-4aba-ad50-45fbe0e7477c,<statistical-analysis><classification><pca>,,2010-09-15 20:05:55.993
5791,2509,668.0,5,,CC BY-SA 2.5,f7802b4e-ec49-4fa0-818b-48ab1b0e74d6,"In today's pattern recognition class my professor talked about Principal Component Analysis , Eigenvectors & Eigenvalues. 

I got the mathematics of it. If I'm asked to find eigenvalues etc. I'll do it correctly like a machine. But I didn't **Understand** it. I didn't get the purpose of it. I didn't get the feel of it.  I strongly believe in 

>you do not really understand something unless you can explain it to your grandmother -- Albert Einstein

Well, I can't explain these concepts to a layman or grandma.

1. Why Principal Component Analysis , Eigenvectors & Eigenvalues? What was the *need* for these concepts?
2. How would you explain these to a layman?","Fixed spelling of ""eigenvectors"" and ""eigenvalues"".; deleted 1 characters in body",2010-09-15 21:36:58.120
5792,2509,668.0,4,,CC BY-SA 2.5,f7802b4e-ec49-4fa0-818b-48ab1b0e74d6,"Making sense of Principal Component Analysis , Eigenvectors & Eigenvalues","Fixed spelling of ""eigenvectors"" and ""eigenvalues"".; deleted 1 characters in body",2010-09-15 21:36:58.120
5797,2509,,4,user88,CC BY-SA 2.5,c6793033-d493-4d22-92c7-dd55595f21ce,"Making sense of principal component analysis, eigenvectors & eigenvalues","Fixed spelling and format, removed unrelated tags.",2010-09-15 22:14:55.840
5798,2509,,6,user88,CC BY-SA 2.5,c6793033-d493-4d22-92c7-dd55595f21ce,<pca>,"Fixed spelling and format, removed unrelated tags.",2010-09-15 22:14:55.840
5799,2509,,5,user88,CC BY-SA 2.5,c6793033-d493-4d22-92c7-dd55595f21ce,"In today's pattern recognition class my professor talked about PCA, eigenvectors & eigenvalues. 

I got the mathematics of it. If I'm asked to find eigenvalues etc. I'll do it correctly like a machine. But I didn't **understand** it. I didn't get the purpose of it. I didn't get the feel of it.  I strongly believe in 

>you do not really understand something unless you can explain it to your grandmother -- Albert Einstein

Well, I can't explain these concepts to a layman or grandma.

1. Why PCA, eigenvectors & eigenvalues? What was the *need* for these concepts?
2. How would you explain these to a layman?","Fixed spelling and format, removed unrelated tags.",2010-09-15 22:14:55.840
5811,2509,628.0,6,,CC BY-SA 2.5,855da758-58dc-4e69-956d-1c22aa1d4ecd,<pca><beginner>,edited tags,2010-09-16 04:37:42.657
5851,1760,,6,user88,CC BY-SA 2.5,567aeb04-9f9f-47bb-946f-a25f5cdc1f0f,<hypothesis-testing>,edited tags,2010-09-16 06:59:48.217
5868,2509,,6,user88,CC BY-SA 2.5,ace200aa-2690-4cf4-a2ba-8df9cbd31c4a,<pca>,edited tags,2010-09-16 07:13:27.197
6097,2156,,6,user88,CC BY-SA 2.5,8f6ca963-1ec8-4380-b083-f985a474999b,<machine-learning><references><clustering>,edited tags,2010-09-17 20:23:04.700
6591,1760,190.0,6,,CC BY-SA 2.5,a6f6e9f6-f447-412f-8923-11b1ba896e95,<hypothesis-testing><forecasting>,edited tags,2010-09-23 16:05:25.783
30738,10911,22.0,1,,CC BY-SA 3.0,c0dec5b6-cdb4-4ac3-99c2-397b1aef27d2,How to calculate the confidence interval of the mean of means?,,2011-06-16 16:58:13.537
179773,48658,,25,,,c9633158-4ccd-4218-8441-96ee96c3e23e,,http://twitter.com/#!/StackStats/status/380301995867127808,2013-09-18 12:07:14.613
8978,3649,674.0,2,,CC BY-SA 2.5,ecf8eef0-7f18-40b3-b477-449356e0ce6d,"I found that Spearman correlation is mostly used in place of usual linear correlation when working with integer valued scores on a measurement scale, when it has a moderate number of possible scores or when we don't want to make rely on assumptions about the bivariate relationships. As compared to Pearson coefficient, the interpretation of Kendall's tau seems to me less direct than that of Spearman's rho, in the sense that it quantifies the difference between the % of concordant and discordant pairs among all possible pairwise events. In my understanding, Kendall's tau more closely resemble [Goodman-Kruskal Gamma][1].

I just browsed an article from Larry Winner in the J. Statistics Educ. (2006) which discusses the use of both measures, [NASCAR Winston Cup Race Results for 1975-2003][2].

I also found [@onestop][3] answer about [Pearson's or Spearman's correlation with non-normal data][4] interesting in this respect.


  [1]: http://en.wikipedia.org/wiki/Gamma_test_(statistics)
  [2]: http://www.amstat.org/publications/jse/v14n3/datasets.winner.html
  [3]: http://stats.stackexchange.com/questions/3730/pearsons-or-spearmans-correlation-with-non-normal-data/3744#3744
  [4]: http://stats.stackexchange.com/questions/3730/pearsons-or-spearmans-correlation-with-non-normal-data",,2010-10-24 14:26:35.747
8986,3646,,4,user88,CC BY-SA 2.5,e2a8e6de-b9e0-43a1-99b4-65d18f8c9c50,Kendall Tau or Spearman's rho?,edited title,2010-10-24 15:46:10.027
9216,28,,6,user88,CC BY-SA 2.5,59d2fd0b-c0aa-4798-b72a-bdbfae0d45e4,<machine-learning>,edited tags,2010-10-28 10:39:42.043
9334,3649,674.0,5,,CC BY-SA 2.5,32685c81-b163-4348-aa75-1b11ad3f4128,"I found that Spearman correlation is mostly used in place of usual linear correlation when working with integer valued scores on a measurement scale, when it has a moderate number of possible scores or when we don't want to make rely on assumptions about the bivariate relationships. As compared to Pearson coefficient, the interpretation of Kendall's tau seems to me less direct than that of Spearman's rho, in the sense that it quantifies the difference between the % of concordant and discordant pairs among all possible pairwise events. In my understanding, Kendall's tau more closely resembles [Goodman-Kruskal Gamma][1].

I just browsed an article from Larry Winner in the J. Statistics Educ. (2006) which discusses the use of both measures, [NASCAR Winston Cup Race Results for 1975-2003][2].

I also found [@onestop][3] answer about [Pearson's or Spearman's correlation with non-normal data][4] interesting in this respect.

Of note, Kendall's tau (the *a* version) has connection to Somers' D (and Harrell's C) used for predictive modelling (see e.g., [Interpretation of Somers’ D under four simple models][5] by RB Newson and reference [6] therein, and articles by Newson published in the Stata Journal 2006). An overview of rank-sum tests is provided in [Efficient Calculation of Jackknife Confidence Intervals for Rank Statistics][6], that was published in the JSS (2006).


  [1]: http://en.wikipedia.org/wiki/Gamma_test_(statistics)
  [2]: http://www.amstat.org/publications/jse/v14n3/datasets.winner.html
  [3]: http://stats.stackexchange.com/questions/3730/pearsons-or-spearmans-correlation-with-non-normal-data/3744#3744
  [4]: http://stats.stackexchange.com/questions/3730/pearsons-or-spearmans-correlation-with-non-normal-data
  [5]: http://www.imperial.ac.uk/nhli/r.newson/miscdocs/intsomd1.pdf
  [6]: http://www.jstatsoft.org/v15/i01/paper",add a note on kendall's tau and predictive modelling,2010-10-31 10:29:50.693
10524,4187,287.0,1,,CC BY-SA 2.5,a78d2b81-a02b-4460-b6f1-70eb56ff41b6,Statistical Sins,,2010-11-15 18:46:37.113
10523,4187,287.0,2,,CC BY-SA 2.5,a78d2b81-a02b-4460-b6f1-70eb56ff41b6,"I'm a grad student in psychology, and as I pursue more and more independent studies in statistics, I am increasingly amazed by the inadequacy of my formal training. Both personal and second hand experience suggests that the paucity of statistical rigor in undergraduate and graduate training is rather ubiquitous within psychology. As such, I thought it would be useful for independent learners like myself to create a list of ""Statistical Sins"", tabulating statistical practices taught to grad students as standard practice that are in fact either superseded by superior (more powerful, or flexible, or robust, etc) modern methods or shown to be frankly invalid. Anticipating that other fields might also experience a similar state of affairs, I propose a community wiki where we can collect a list of Statistical Sins across disciplines. Please submit one ""sin"" per answer.",,2010-11-15 18:46:37.113
10525,4187,287.0,3,,CC BY-SA 2.5,a78d2b81-a02b-4460-b6f1-70eb56ff41b6,<teaching><best-practices>,,2010-11-15 18:46:37.113
10540,4187,,16,user88,,00000000-0000-0000-0000-000000000000,,,2010-11-15 20:28:53.713
10547,4187,,4,user88,CC BY-SA 2.5,9443f777-cbfa-4c91-97ad-14a55f37830e,What are common statistical sins?,edited title,2010-11-15 20:29:19.393
10548,4187,,6,user88,CC BY-SA 2.5,ca45a05e-b875-4679-8b09-79abc81142e9,<best-practices>,edited tags,2010-11-15 20:29:26.957
11966,4705,1209.0,3,,CC BY-SA 2.5,0998ef5d-278a-43dd-bada-15885d12473c,<methodology><analysis>,,2010-12-04 00:08:23.027
11965,4705,1209.0,1,,CC BY-SA 2.5,0998ef5d-278a-43dd-bada-15885d12473c,Most famous statisticians,,2010-12-04 00:08:23.027
11967,4705,1209.0,2,,CC BY-SA 2.5,0998ef5d-278a-43dd-bada-15885d12473c,What are the most important statisticians and what is it that made them famous? (Reply just one scientist per answer please),,2010-12-04 00:08:23.027
11969,4705,,16,user88,,00000000-0000-0000-0000-000000000000,,,2010-12-04 00:12:46.677
11971,4705,,6,user88,CC BY-SA 2.5,f4b20939-9bad-402d-8814-94b8a172c23f,<history>,edited tags; added 3 characters in body,2010-12-04 00:13:35.163
11970,4705,,5,user88,CC BY-SA 2.5,f4b20939-9bad-402d-8814-94b8a172c23f,"What are the most important statisticians and what is it that made them famous?  
(Reply just one scientist per answer please)",edited tags; added 3 characters in body,2010-12-04 00:13:35.163
11977,4705,1209.0,9,,CC BY-SA 2.5,f07672a7-e6c0-40c4-abf9-d21990165d5c,<methodology><analysis>,Rollback to [0998ef5d-278a-43dd-bada-15885d12473c],2010-12-04 00:50:06.453
11976,4705,1209.0,8,,CC BY-SA 2.5,f07672a7-e6c0-40c4-abf9-d21990165d5c,What are the most important statisticians and what is it that made them famous? (Reply just one scientist per answer please),Rollback to [0998ef5d-278a-43dd-bada-15885d12473c],2010-12-04 00:50:06.453
11978,4705,1209.0,6,,CC BY-SA 2.5,a1721099-9036-4699-842d-268642f2cfb9,<methodology><history><analysis>,edited tags,2010-12-04 00:58:41.857
