id,post_id,user_id,content_license,user_display_name,text,creation_date
11731,7965,674.0,CC BY-SA 2.5,,"@celenius `center=true` just means remove the mean, and `scale=TRUE` stands for divide by SD; in other words, with both options active, you're getting standardized variables (with mean 0, unit variance, and values expressed in SD units).",2011-03-24 14:58:31.323
11733,7965,1691.0,CC BY-SA 2.5,,"@chl Ah! Thank you. That is a much clearer explanation to me than the help file. Does it make a difference how a variable is standardized for clustering with kmeans though? I would assume not, but don't know for sure.",2011-03-24 15:01:49.490
11736,7965,674.0,CC BY-SA 2.5,,"@celenius I can suggest this article, [Standardizing Variables in K-means Clustering](http://www.springerlink.com/content/l438152634256311/) (Steinley, 2004) to get an idea of the effects of different kind of transformations. The utility of scaling depends on the data you have, but usually one reason to use standardized (scaled) variables is to avoid obtaining clusters that are dominated by variables having the largest amount of variation.",2011-03-24 15:18:09.887
11745,7965,668.0,CC BY-SA 2.5,,@celenius Why is collinearity a problem?  It shouldn't affect k-means at all.,2011-03-24 17:49:39.270
11749,7965,1691.0,CC BY-SA 2.5,,"@whuber I assumed that the more collinear variables I include, the more that it biases the clustering towards those collinear dimensions.",2011-03-24 18:18:28.917
11751,7965,668.0,CC BY-SA 2.5,,"@celenius It shouldn't introduce bias.  Take, for instance, the extreme of perfect collinearity in 2D: all observations are of the form $(a+t x, b+t y)$ for constants $a,b,x,y$.  K-means uses Euclidean distances and the distance between two such points given by $t$ and $s$ is just $|s-t|$: it's really a 1D problem and there's no special weighting given to any of the data.",2011-03-24 19:31:46.477
12756,8529,1895.0,CC BY-SA 3.0,,Do you have some general interests that you'd like to list? That might help guide suggestions. Applications of statistics have become pretty pervasive in a remarkably broad array of fields.,2011-04-09 01:58:29.253
12889,8529,793.0,CC BY-SA 3.0,,"@cardinal, nope, no particular interests -- the purpose was to branch out from the stuff I typically read, so I'm trying not to limit any answers. (This does maybe make the question a bit too broad, but I guess I'm looking for people's personal ""best of"" lists.)",2011-04-11 21:40:41.700
12963,2509,,CC BY-SA 3.0,,"A two pages article explaining PCA for biologists: Ringnér. [What is principal component analysis?](http://www.nature.com/nbt/journal/v26/n3/full/nbt0308-303.html). Nature Biotechnology 26, 303-304 (2008)",2011-04-13 01:55:06.840
14478,9524,221.0,CC BY-SA 3.0,,"nice idea for a collection ! @mods: Beside cw maybe renaming to ""movies every statistician should have seen"" or something like that ?",2011-05-07 12:28:31.583
14480,9524,674.0,CC BY-SA 3.0,,@steffen Thx. Better to flag the question for mods attention in the future (we aren't notified with @mods).,2011-05-07 12:37:52.090
14485,9524,2872.0,CC BY-SA 3.0,,"By the way, I found this page, which might add some movies to the collection: http://world.std.com/~reinhold/mathmovies.html",2011-05-07 14:41:51.013
14487,9524,,CC BY-SA 3.0,,Nothing that will inspire anybody to take up mathematics. Stick to books.,2011-05-07 15:21:49.440
14497,9524,221.0,CC BY-SA 3.0,,@Emre Maybe. But nevertheless it is entertaining for those who already deal with math (even more if the movie is presenting things wrong or with exaggeration).,2011-05-07 18:38:36.787
14507,9529,1693.0,CC BY-SA 3.0,,"An absorbing story and one I'd recommend, but it referred to math rather than truly involding math.  I'd say the same thing about the tv show Numb3rs.",2011-05-07 22:43:12.617
14519,4705,1209.0,CC BY-SA 3.0,,"Thank you very much for doing that, but I am sorry to tell you that I can not see anything i the first link.",2011-05-08 05:28:34.270
15357,10008,2352.0,CC BY-SA 3.0,,"My philosophy is run lots of models, check their predictions, compare, explain, run more models.",2011-05-20 03:43:22.080
15413,10008,,CC BY-SA 3.0,,"If the interactions are only significant when the main effects are NOT in the model, it may be that the main effects are significant and the interactions not. Consider one highly significant main effect with variance on the order of 100 and another insignificant main effect for which all values are approximately one with very low variance. Their interaction is not significant, but the interaction effect will appear to be significant if the main effects are removed from the model.",2011-05-20 16:26:35.877
16234,10541,674.0,CC BY-SA 3.0,,"Please, don't cross-post on [SO](http://stackoverflow.com/questions/6241181/gap-statistics-matlab-implementation) and [MatlabCentral](http://www.mathworks.fr/matlabcentral/answers/8811-gap-staticstics-implementation)!",2011-06-05 08:48:49.270
16249,10541,1895.0,CC BY-SA 3.0,,The gap statistic takes 20 lines of code or less to implement. It may be faster just to write it yourself.,2011-06-05 14:45:59.767
16253,10541,2690.0,CC BY-SA 3.0,,@chi ok will not repeat the same.,2011-06-05 15:14:57.170
16955,10911,,CC BY-SA 3.0,,"Not an answer, just an intuitive observation.  The CI for the pooled data mean (all nine obs) is $(39.7 \pm 2.13)$, CI based on the means only is $(39.7\pm 12.83)$.  Not sure what your CI is doing (typo? 17 not 27, and 51 not 61?), I get $2.98$ for std err of three means, and $4.30$ as $0.975$ quantile of T dist with 2 df.  I would think that the CI you seek would lie somewhere in between these two - as you have partial pooling.  Could also think in terms of variance formula $V(Y)=E[V(Y|Y_g)]+V[E(Y|Y_g)]$, each CI uses half of the formula",2011-06-18 04:58:50.833
16992,10911,22.0,CC BY-SA 3.0,,"@probabilityislogic: The SEM of the three experiment means is 5.168  (not 2.98 as you wrote), and the confidence interval I gave in the original post (17.4 to 61.9) is correct. The SEM is computed from the SD (8.95) by dividing by the square root of n (square root of 3). You divided by n (3) instead.",2011-06-19 13:42:39.630
17011,10911,,CC BY-SA 3.0,,"my mistake, should also replace $2.13$ by $6.40$ in the pooled interval (same mistake there)",2011-06-20 05:10:22.410
18283,412,,CC BY-SA 3.0,,"Could you be a little more precise? What type of analysis, in what context, etc.",2011-07-13 05:38:35.730
18284,412,,CC BY-SA 3.0,,"Well, I'm talking about the basics, an overview of as much as is possible.",2011-07-13 07:08:38.587
19728,4714,,CC BY-SA 3.0,,That this was selected indicates a biased prior.,2011-08-06 00:20:15.883
20768,13058,668.0,CC BY-SA 3.0,,"For one solution, see the comments to [this reply](http://stats.stackexchange.com/questions/14351/forecasting-time-series-based-on-a-behavior-of-other-one/14366#14366).  Open source solutions would include image processing or raster GIS software ([GRASS](http://grass.fbk.eu/) is a likely candidate) or, perhaps, [GNU Octave](http://www.gnu.org/software/octave/).  I'm mentioning these as a comment because I haven't used either for this specific purpose, so please take them as possibilities, not as definite solutions.",2011-08-18 04:20:43.743
20769,13058,1124.0,CC BY-SA 3.0,,"I'm hoping for code/software specifically for scraping graphs, and I remember such packages existed, at least they did 10 yrs ago, but I can't remember their names now, and don't know if they work on current operating systems.",2011-08-18 04:56:35.977
20772,13058,,CC BY-SA 3.0,,"@Alex, try googling [""Graph Digitizer Open Source""](http://www.google.com/search?sourceid=chrome&ie=UTF-8&q=graph+digitizer+open+source)",2011-08-18 05:52:45.057
21254,13060,,CC BY-SA 3.0,,"There is a nice article / tutorial in [R Journal, June 2011](http://journal.r-project.org/archive/2011-1/RJournal_2011-1_Poisot.pdf)",2011-08-23 22:56:28.507
21943,13631,,CC BY-SA 3.0,,"see if this helps
http://www.math.bme.hu/~morvai/publications/papers/MorvaiWeissActApplMath2003ARX.pdf good day",2011-09-02 03:22:09.713
21945,13631,5898.0,CC BY-SA 3.0,,Have you considered a hidden markov model?,2011-09-02 03:25:56.700
21996,13631,,CC BY-SA 3.0,user6145,"Thanks for the answers. But there is any software package already available with some implementations? I have searched in R, but I only found the VLMC package. Thanks,
Ricardo Bessa",2011-09-02 18:17:36.373
21997,13631,,CC BY-SA 3.0,,"Ricardo, you should edit your question with this additional information instead of adding it as an answer.  Thanks, and welcome to the site!",2011-09-02 18:26:26.157
22002,13631,,CC BY-SA 3.0,,"Are there really two types of 1's in your data? That is, 1 meaning the car could be moving but is not versus 1 meaning that your car really could not be moving at this time. That would be called one-inflation (it's usually zero-inflation). If so, you need to model when the car can be moving or not versus when it might be moving but is not.",2011-09-02 19:13:09.537
22022,13631,4221.0,CC BY-SA 3.0,,"In this case there is only 1, meaning that the car is not moving. Perhaps hidden markov models can be a good option.",2011-09-03 00:13:46.983
23827,14729,2081.0,CC BY-SA 3.0,,"Your matrix is positive semi-definite, it's not positive definite though, for it is singular.",2011-10-01 17:53:04.460
23828,14729,,CC BY-SA 3.0,,What are the dimensions (no. variables; no. samples)?,2011-10-01 17:59:46.217
23830,14729,5898.0,CC BY-SA 3.0,,"Number of columns = 480. # of rows for each time series = 502. In general you find that the larger the time series the sample covariance matrix tends to be positive definite. However, there are many cases where you'd like to use a substantially smaller value of T (or exponentially weight) to reflect recent market conditions.",2011-10-01 19:24:35.453
23835,14729,2765.0,CC BY-SA 3.0,,"The question is ill-posed. If your data matrix is 480 by 502 then saying that the matrix has rank $q < 480$ (the column space of the matrix has dimension $q < 480$) is mathematically equivalent to saying that some column is a linear combination of the others, but you can't pick out one column and say that this is the column that is linearly dependent. So there is no procedure for doing this, and the suggested procedure will pick a quite arbitrary security depending on the order they are included.",2011-10-01 21:34:07.430
23846,14729,5898.0,CC BY-SA 3.0,,The covariance matrix is symmetric. It is generated by transpose(A) * A. The matrix A has dimensions 480x502. However the covariance matrix is 480x480,2011-10-01 23:26:30.863
24702,15281,668.0,CC BY-SA 3.0,,We have a specialist in this subject who is a frequent contributor.  Consult almost any of [his replies](http://stats.stackexchange.com/users/3382/irishstat) for an account of his favorite methods.  Here is a [typical one](http://stats.stackexchange.com/questions/6033/detect-changes-in-time-series/8549#8549).,2011-10-13 17:37:36.160
24706,15281,3641.0,CC BY-SA 3.0,,"@whuber, I didn't find methods on his post.",2011-10-13 19:44:42.753
24707,15281,668.0,CC BY-SA 3.0,,He provides a link to documents with references and equations.,2011-10-13 20:05:47.283
24724,14790,,CC BY-SA 3.0,,"Isn't this the reduced row echelon form? If so, aren't there packages / functions available in R?",2011-10-14 00:39:40.743
24731,14790,2081.0,CC BY-SA 3.0,,"@Arun, I'm not R user so can't know.",2011-10-14 06:42:25.397
27748,17000,5479.0,CC BY-SA 3.0,,But how could I download them in .txt,2011-11-24 22:44:25.457
28379,4714,436.0,CC BY-SA 3.0,,Does one *discover* a theorem? Shouldn't it be *postulating* or *theorizing*?,2011-12-04 13:21:30.270
28490,28,5671.0,CC BY-SA 3.0,,"Add a third culture: **data mining**. Machine learners and data miners speak quite different languages. Usually, the machine learners don't even understand what is different in data mining. To them, it's just unsupervised learning; they ignore the data management aspects and apply the *buzzword* data mining to machine learning, too, adding further to the confusion.",2011-12-06 12:05:25.373
30338,4714,5237.0,CC BY-SA 3.0,,"Sigh.  I would have hoped that one could be an enthusiast of the Bayesian approach without actually believing that Bayes the man was the greatest statistician of all time.  Shouldn't we honor someone who contributed important work to its development, like, e.g., [Jaynes](http://en.wikipedia.org/wiki/Edwin_Thompson_Jaynes)?",2012-01-07 03:26:45.850
31657,1248,668.0,CC BY-SA 3.0,,"This is a popular and much-loved thread, even though it does not (on the face of it) seem to conform to SE standards for content.  (Just what practical question is being asked here? :-)  Some rules benefit from being ... bent ... once in a while.  However, please don't use the existence of this thread to justify creating new ones that fall outside our guidelines unless you think there is a very good reason to do so!  Questions about site policy are always appropriate in [Meta](http://meta.stats.stackexchange.com/) and debate is warmly welcomed in [chat](http://chat.stackexchange.com/).",2012-01-24 15:34:51.807
33305,20240,,CC BY-SA 3.0,vzn,"re ""numerical optimization methods"", ""discrete optimization methods"", it seems many ML techniques could be proven to be within a constant factor of the true optimum if their ""initial search space"" is forced to be large, but I havent seen a ref on this.",2012-02-10 22:10:31.230
33337,20240,,CC BY-SA 3.0,,"I disagree. 

* for numerical optimization you can get into local minimum (of course you can also apply procedures that make this unprobrable).

* The same is for Neural Networks (at least it can happen during training of perceptron). 

* Genetic algorithms can also get into local minimum, moreover if you choose to big mutation rates you will get no sensible evolution! 

II also strongly suspect that there are datasets that will always make certain models have arbitralily big errors.",2012-02-11 13:21:38.393
33589,20240,,CC BY-SA 3.0,,"@vzn many people choose models for which the optimal solution can be found. This is because the use convex loss functions, as SVMs do. Finding the true optimum here means ""finding the optimal solution in your search space"", so that has nothing to do with how the search space looks like.
As jb said, for general loss functions, finding the true optimum is usually impossible / infeasible.",2012-02-14 08:44:30.200
34278,20667,221.0,CC BY-SA 3.0,,I vote for cw ;),2012-02-20 12:53:13.573
37169,28,,CC BY-SA 3.0,,There's a similar question on [data mining and statistics](http://stats.stackexchange.com/questions/1521/data-mining-and-statistical-analysis),2012-03-22 23:51:48.623
38536,23019,,CC BY-SA 3.0,,"It seems to me model b makes more sense, since you could imagine fixed developmental effects occurring at particular ages in all mice, but occasion specific conditions (captured by the random intercept, grouped by time) may be more thought of as random perturbations.",2012-04-06 01:48:46.123
38693,23087,5179.0,CC BY-SA 3.0,,"No, I think you are confusing the definition of an MA(n) model, where the regression is only in terms of the $e_{t-i}$'s, with its estimation, where the $e_{t-i}$'s are estimated from the data.",2012-04-07 17:25:28.287
38713,23087,1406.0,CC BY-SA 3.0,,"The main problem in your question is that you say that MA model is basically a linear regression. This is simply not true, since we do not observe error terms.",2012-04-07 20:18:02.153
38863,23087,5643.0,CC BY-SA 3.0,,"I think the error term *is* actually $Y_t - \hat{Y_t}$, where $\hat{Y}$ is $E(Y|Y_{t,...,t-n})$ or simply $Y_t - Y_{t-1}$. That is why an MA model parameter estimate is derived from a recurring pattern in the $Y$ partial autocorrelation function, that is the behavior of the residuals. The AR parameter estimation instead, is based on a recurring pattern of the acf(Y).",2012-04-09 15:23:42.327
41789,24506,,CC BY-SA 3.0,,It's not totally clear what kind of model you're fitting - is this a linear regression model?,2012-05-06 00:40:29.510
42014,24506,7341.0,CC BY-SA 3.0,,"Yes, it's linear regression.",2012-05-07 21:52:37.023
42176,24602,7341.0,CC BY-SA 3.0,,"Thank you very much - I haven't been able to get with my coworker who knows much more R than me, but I'm sure this is the ticket.",2012-05-08 19:46:30.480
42863,25087,7421.0,CC BY-SA 3.0,,"Thank you. Just to make sure on your thoughts this is the quote, P. 117: ""Principal factors as normally extracted are based on equations for which it is assumed that the population correlation matrix is being factored. In maximum like hood procedures it is explicitly recognized that a sample is being analyzed. Maximum like hood procedures are defined as those that best reproduce the population values (the meaning of ""best reproduce"" is further discussed in Chapter 7). Any factor solution that best reproduces the population values is a maximum like hood analysis.",2012-05-14 16:09:20.817
42870,25087,8363.0,CC BY-SA 3.0,,"The terminology is bad.  We don't say that maximum likelihood estimates best reproduce the population values.  The maximum likelihood estimates are obtained for population parameters by selecting the values that maximize the likelihood function. This means that the exact parametric model using the fitted parameter(s), in a way best describes the observed data. Maybe this is what he intended to say but phrased it poorly.",2012-05-14 16:39:30.570
42872,25087,8363.0,CC BY-SA 3.0,,"The population correlation matrix cannot be factored since it is unknown. PCA does what I described for the sample data. I don't even think that means factoring the sample correlation matrix. I am assuming he means principal components when he says ""principal factors"" but it could mean something else and really have something to do with the sample correlation matrix.I think you should look at other books on this topic that are much better written (e.g. books on multivariate analysis such as Gnandesikan or Jolliffee's book on PCA).",2012-05-14 16:46:43.573
42887,25087,7421.0,CC BY-SA 3.0,,Thank you Michael for answering this question 2. Hopefully I can get an answer for the others too!,2012-05-14 18:22:52.870
45977,16998,668.0,CC BY-SA 3.0,,This thread appears to be off topic.  See http://meta.stats.stackexchange.com/questions/1032/data-sourcing-we-need-to-make-up-our-mind/1033#comment2001_1033.,2012-06-07 21:39:07.407
47052,412,,CC BY-SA 3.0,,[Statistics explained](http://www.amazon.com/Statistics-Explained-Introductory-Guide-Scientists/dp/0521183286) covers the basics using examples from the life sciences. The answers to [this question](http://stats.stackexchange.com/questions/29380/a-statistics-book-that-explains-using-more-images-than-equations/) may also contain recommendations that you'll find useful.,2012-06-15 13:59:49.403
47139,28,,CC BY-SA 3.0,user10525,An interesting discussion in [Wasserman's blog](http://normaldeviate.wordpress.com/2012/06/12/statistics-versus-machine-learning-5-2/).,2012-06-16 10:43:07.713
47631,27120,2081.0,CC BY-SA 3.0,,"Just a side note. ""Error"" in abbreviations like MSE usually actual mean ""residuals"". Practically, residuals and errors frequently are treated as synonims, MSE=MSR. But theoretically there's important [distinction](http://en.wikipedia.org/wiki/Errors_and_residuals_in_statistics) between the two terms",2012-06-20 17:55:33.763
49899,5020,449.0,CC BY-SA 3.0,,"There's no moral hazard.  The calculation of the main effects with the interaction included is quite different from the calculation without it.  You have to do the additive model to report the main effects and then include the interaction in a separate model anyway.  You ignore the main effects in the model that includes the interaction because they're not really main effects, they're effects at specific levels of the other predictors (including the interaction).",2012-07-10 14:08:28.770
55166,30434,5249.0,CC BY-SA 3.0,,Thanks for dredging up this question! Wallach et al also have a paper on topic model evaluations: [Evaluation methods for topic models](http://doi.acm.org/10.1145/1553374.1553515),2012-08-22 08:27:14.353
55325,30434,9605.0,CC BY-SA 3.0,,"No worries. I've found there's some code for Wallach's left-to-right method in the MALLET topic modelling toolbox, if you're happy to use their LDA implementation it's an easy win although it doesn't seem super easy to run it on a set of topics learned elsewhere from a different variant of LDA, which is what I'm looking to do. I ended up implementing the Chib-style estimator from their paper using the matlab code they supply as a guide although had to fix a couple of issues in doing that, let me know if you want the code.",2012-08-23 11:28:40.423
56111,30957,8363.0,CC BY-SA 3.0,,"Just curious, why do you want to initialize the model with a different time series?",2012-08-29 15:31:12.027
56118,30957,9446.0,CC BY-SA 3.0,,@MichaelChernick I can think of few reasons why one might want to initialize the simulation with a different time-series.  1). One might have a population that is very similar to the one modeled but few time points to build a new model from (of course the big assumption would be the new population exhibits population dynamics just as the original one did which is probably not the best assumption but could still be informative about what to expect from the new population).,2012-08-29 16:16:21.897
62533,34166,,CC BY-SA 3.0,,"It would be good if you could describe the experiment a bit clearer. Without reading the original post, it is really hard to understand what the paradox is about.",2012-10-25 22:51:17.727
62693,34166,,CC BY-SA 3.0,,My comment wasn't meant to be rude btw. I realized later it might have come across a bit harsh. Hope you didn't take it the wrong way.,2012-10-28 00:42:19.703
56120,30957,9446.0,CC BY-SA 3.0,,"2). Also, one might want to simulate potential impact of a rare but extreme short-term event that causes high mortality in the population (i.e., hurricane, chemical spill, disease outbreak, etc). Of course one would have make some assumptions about how those events might change the population’s growth rate but could use the simulation results to inform wildlife managers as to potential effects by magnitude and duration of declines in population growth rates on the population’s trajectory. Those results could then be used to help inform planning and management decisions for the population.",2012-08-29 16:17:42.660
56136,30960,9446.0,CC BY-SA 3.0,,Wouldn't using a non-seasonal ARIMA model with higher AR orders (p > 1) results in the cyclic pattern being dampened as the forecasts increase a cycle or two beyond the last data point?,2012-08-29 19:02:41.150
56162,30960,132.0,CC BY-SA 3.0,,"Yes, but that's because the cycles are not strictly periodic. They are almost periodic, and as you go further out in the forecast horizon, it becomes harder to predict which part of the cycle you will be in. The point forecasts are means, and so they will naturally flatten out, indicating this uncertainty.",2012-08-30 04:24:43.993
56184,30960,8363.0,CC BY-SA 3.0,,I still think this is not a very sensible thing to do.  It is a rather strong assumption to think that a different series will have the same model form and coefficients as another series.  When you don't have sufficient data to forecast I think it is best not to.,2012-08-30 12:19:07.520
56195,30960,9446.0,CC BY-SA 3.0,,@RobHyndman Thank you for your insight.  Is the link you were refering to [Research tips - Cyclic and seasonal time series](http://robjhyndman.com/researchtips/cyclicts/)?,2012-08-30 14:05:03.150
56248,30960,132.0,CC BY-SA 3.0,,"That's relevant, but I was referring to papers such as http://www.publish.csiro.au/?paper=ZO9530163",2012-08-30 20:08:29.103
57490,31575,7007.0,CC BY-SA 3.0,,"You have $4$ states: $S=\{1:=A,2:=B,3:=C,4:=D\}$. Let $n_{ij}$ be the number of times the chain made a transition from state $i$ to state $j$, for $ij,=1,2,3,4$. Compute the $n_{ij}$'s from your sample and estimate the transition matrix $(p_{ij})$ by maximum likelihood using the estimates $\hat{p}_{ij}=n_{ij}/\sum_{j=1}^4 n_{ij}$.",2012-09-11 16:29:52.470
57491,31575,7007.0,CC BY-SA 3.0,,These notes derive the MLE estimates: http://www.stat.cmu.edu/~cshalizi/462/lectures/06/markov-mle.pdf,2012-09-11 16:30:57.337
57500,31587,6404.0,CC BY-SA 3.0,,Looks great! I'm not sure what the 3rd line does in your code though (mainly because I'm familiar with Matlab). Any chance you could write it in matlab or pseudo-code?  I'd be much obliged.,2012-09-11 17:22:15.067
57524,31587,7007.0,CC BY-SA 3.0,,"The third line does this: the chain values are $x_1,\dots,x_n$. For $t=1,\dots,n-1$, increment $p_{x_t,x_{t+1}}$.",2012-09-11 19:32:17.700
